date,Confirmed,Deaths,Recovered
2020-01-22 00:00:00,0.0,0.0,0.0
2020-01-23 00:00:00,0.0,0.0,0.0
2020-01-24 00:00:00,0.0,0.0,0.0
2020-01-25 00:00:00,0.0,0.0,0.0
2020-01-26 00:00:00,0.0,0.0,0.0
2020-01-27 00:00:00,0.0,0.0,0.0
2020-01-28 00:00:00,0.0,0.0,0.0
2020-01-29 00:00:00,0.0,0.0,0.0
2020-01-30 00:00:00,1.0,0.0,0.0
2020-01-31 00:00:00,1.0,0.0,0.0
2020-02-01 00:00:00,1.0,0.0,0.0
2020-02-02 00:00:00,2.0,0.0,0.0
2020-02-03 00:00:00,3.0,0.0,0.0
2020-02-04 00:00:00,3.0,0.0,0.0
2020-02-05 00:00:00,3.0,0.0,0.0
2020-02-06 00:00:00,3.0,0.0,0.0
2020-02-07 00:00:00,3.0,0.0,0.0
2020-02-08 00:00:00,3.0,0.0,0.0
2020-02-09 00:00:00,3.0,0.0,0.0
2020-02-10 00:00:00,3.0,0.0,0.0
2020-02-11 00:00:00,3.0,0.0,0.0
2020-02-12 00:00:00,3.0,0.0,0.0
2020-02-13 00:00:00,3.0,0.0,0.0
2020-02-14 00:00:00,3.0,0.0,0.0
2020-02-15 00:00:00,3.0,0.0,0.0
2020-02-16 00:00:00,3.0,0.0,3.0
2020-02-17 00:00:00,3.0,0.0,3.0
2020-02-18 00:00:00,3.0,0.0,3.0
2020-02-19 00:00:00,3.0,0.0,3.0
2020-02-20 00:00:00,3.0,0.0,3.0
2020-02-21 00:00:00,3.0,0.0,3.0
2020-02-22 00:00:00,3.0,0.0,3.0
2020-02-23 00:00:00,3.0,0.0,3.0
2020-02-24 00:00:00,3.0,0.0,3.0
2020-02-25 00:00:00,3.0,0.0,3.0
2020-02-26 00:00:00,3.0,0.0,3.0
2020-02-27 00:00:00,3.0,0.0,3.0
2020-02-28 00:00:00,3.0,0.0,3.0
2020-02-29 00:00:00,3.0,0.0,3.0
2020-03-01 00:00:00,3.0,0.0,3.0
2020-03-02 00:00:00,5.0,0.0,3.0
2020-03-03 00:00:00,5.0,0.0,3.0
2020-03-04 00:00:00,28.0,0.0,3.0
2020-03-05 00:00:00,30.0,0.0,3.0
2020-03-06 00:00:00,31.0,0.0,3.0
2020-03-07 00:00:00,34.0,0.0,3.0
2020-03-08 00:00:00,39.0,0.0,3.0
2020-03-09 00:00:00,43.0,0.0,3.0
2020-03-10 00:00:00,56.0,0.0,4.0
2020-03-11 00:00:00,62.0,1.0,4.0
2020-03-12 00:00:00,73.0,1.0,4.0
2020-03-13 00:00:00,82.0,2.0,4.0
2020-03-14 00:00:00,102.0,2.0,4.0
2020-03-15 00:00:00,113.0,2.0,13.0
2020-03-16 00:00:00,119.0,2.0,13.0
2020-03-17 00:00:00,142.0,3.0,14.0
2020-03-18 00:00:00,156.0,3.0,14.0
2020-03-19 00:00:00,194.0,4.0,15.0
2020-03-20 00:00:00,244.0,5.0,20.0
2020-03-21 00:00:00,330.0,4.0,23.0
2020-03-22 00:00:00,396.0,7.0,27.0
2020-03-23 00:00:00,499.0,10.0,27.0
2020-03-24 00:00:00,536.0,10.0,40.0
2020-03-25 00:00:00,657.0,12.0,43.0
2020-03-26 00:00:00,727.0,20.0,45.0
2020-03-27 00:00:00,887.0,20.0,73.0
2020-03-28 00:00:00,987.0,24.0,84.0
2020-03-29 00:00:00,1024.0,27.0,95.0
2020-03-30 00:00:00,1251.0,32.0,102.0
2020-03-31 00:00:00,1397.0,35.0,123.0
2020-04-01 00:00:00,1998.0,58.0,148.0
2020-04-02 00:00:00,2543.0,72.0,191.0
2020-04-04 13:03:00,3082.0,86.0,229.0
