date,Confirmed,Deaths,Recovered
2020-01-22 00:00:00,2.0,0.0,0.0
2020-01-23 00:00:00,2.0,0.0,0.0
2020-01-24 00:00:00,2.0,0.0,0.0
2020-01-25 00:00:00,2.0,0.0,0.0
2020-01-26 00:00:00,4.0,0.0,1.0
2020-01-27 00:00:00,4.0,0.0,1.0
2020-01-28 00:00:00,7.0,0.0,1.0
2020-01-29 00:00:00,7.0,0.0,1.0
2020-01-30 00:00:00,11.0,0.0,1.0
2020-01-31 00:00:00,15.0,0.0,1.0
2020-02-01 00:00:00,20.0,0.0,1.0
2020-02-02 00:00:00,20.0,0.0,1.0
2020-02-03 00:00:00,20.0,0.0,1.0
2020-02-04 00:00:00,22.0,0.0,1.0
2020-02-05 00:00:00,22.0,0.0,1.0
2020-02-06 00:00:00,22.0,0.0,1.0
2020-02-07 00:00:00,25.0,0.0,1.0
2020-02-08 00:00:00,25.0,0.0,1.0
2020-02-09 00:00:00,26.0,0.0,1.0
2020-02-10 00:00:00,26.0,0.0,4.0
2020-02-11 00:00:00,26.0,0.0,9.0
2020-02-12 00:00:00,28.0,0.0,9.0
2020-02-13 00:00:00,28.0,1.0,9.0
2020-02-14 00:00:00,29.0,1.0,9.0
2020-02-15 00:00:00,43.0,1.0,12.0
2020-02-16 00:00:00,59.0,1.0,12.0
2020-02-17 00:00:00,66.0,1.0,12.0
2020-02-18 00:00:00,74.0,1.0,13.0
2020-02-19 00:00:00,84.0,1.0,18.0
2020-02-20 00:00:00,94.0,1.0,18.0
2020-02-21 00:00:00,105.0,1.0,22.0
2020-02-22 00:00:00,122.0,1.0,22.0
2020-02-23 00:00:00,147.0,1.0,22.0
2020-02-24 00:00:00,159.0,1.0,22.0
2020-02-25 00:00:00,170.0,1.0,22.0
2020-02-26 00:00:00,189.0,2.0,22.0
2020-02-27 00:00:00,214.0,4.0,22.0
2020-02-28 00:00:00,228.0,4.0,22.0
2020-02-29 00:00:00,241.0,5.0,32.0
2020-03-01 00:00:00,256.0,6.0,32.0
2020-03-02 00:00:00,274.0,6.0,32.0
2020-03-03 00:00:00,293.0,6.0,43.0
2020-03-04 00:00:00,331.0,6.0,43.0
2020-03-05 00:00:00,360.0,6.0,43.0
2020-03-06 00:00:00,420.0,6.0,46.0
2020-03-07 00:00:00,461.0,6.0,76.0
2020-03-08 00:00:00,502.0,6.0,76.0
2020-03-09 00:00:00,511.0,10.0,76.0
2020-03-10 00:00:00,581.0,10.0,101.0
2020-03-11 00:00:00,639.0,15.0,118.0
2020-03-12 00:00:00,639.0,16.0,118.0
2020-03-13 00:00:00,701.0,19.0,118.0
2020-03-14 00:00:00,773.0,22.0,118.0
2020-03-15 00:00:00,839.0,22.0,118.0
2020-03-16 00:00:00,839.0,27.0,144.0
2020-03-17 00:00:00,878.0,29.0,144.0
2020-03-18 00:00:00,889.0,29.0,144.0
2020-03-19 00:00:00,924.0,29.0,150.0
2020-03-20 00:00:00,963.0,33.0,191.0
2020-03-21 00:00:00,1007.0,35.0,232.0
2020-03-22 00:00:00,1101.0,41.0,235.0
2020-03-23 00:00:00,1128.0,42.0,235.0
2020-03-24 00:00:00,1193.0,43.0,285.0
2020-03-25 00:00:00,1307.0,45.0,310.0
2020-03-26 00:00:00,1387.0,47.0,359.0
2020-03-27 00:00:00,1468.0,49.0,372.0
2020-03-28 00:00:00,1693.0,52.0,404.0
2020-03-29 00:00:00,1866.0,54.0,424.0
2020-03-30 00:00:00,1866.0,54.0,424.0
2020-03-31 00:00:00,1953.0,56.0,424.0
2020-04-01 00:00:00,2178.0,57.0,472.0
2020-04-02 00:00:00,2495.0,62.0,472.0
2020-04-04 13:03:00,2935.0,69.0,514.0
