date,Confirmed,Deaths,Recovered
2020-01-22 00:00:00,0.0,0.0,0.0
2020-01-23 00:00:00,0.0,0.0,0.0
2020-01-24 00:00:00,0.0,0.0,0.0
2020-01-25 00:00:00,3.0,0.0,0.0
2020-01-26 00:00:00,4.0,0.0,0.0
2020-01-27 00:00:00,4.0,0.0,0.0
2020-01-28 00:00:00,4.0,0.0,0.0
2020-01-29 00:00:00,7.0,0.0,0.0
2020-01-30 00:00:00,8.0,0.0,0.0
2020-01-31 00:00:00,8.0,0.0,0.0
2020-02-01 00:00:00,8.0,0.0,0.0
2020-02-02 00:00:00,8.0,0.0,0.0
2020-02-03 00:00:00,8.0,0.0,0.0
2020-02-04 00:00:00,10.0,0.0,0.0
2020-02-05 00:00:00,12.0,0.0,0.0
2020-02-06 00:00:00,12.0,0.0,0.0
2020-02-07 00:00:00,12.0,0.0,1.0
2020-02-08 00:00:00,16.0,0.0,1.0
2020-02-09 00:00:00,16.0,0.0,1.0
2020-02-10 00:00:00,18.0,0.0,1.0
2020-02-11 00:00:00,18.0,0.0,3.0
2020-02-12 00:00:00,18.0,0.0,3.0
2020-02-13 00:00:00,19.0,0.0,3.0
2020-02-14 00:00:00,19.0,0.0,3.0
2020-02-15 00:00:00,22.0,0.0,7.0
2020-02-16 00:00:00,22.0,0.0,7.0
2020-02-17 00:00:00,22.0,0.0,7.0
2020-02-18 00:00:00,22.0,0.0,13.0
2020-02-19 00:00:00,22.0,0.0,15.0
2020-02-20 00:00:00,22.0,0.0,15.0
2020-02-21 00:00:00,22.0,0.0,15.0
2020-02-22 00:00:00,22.0,0.0,15.0
2020-02-23 00:00:00,22.0,0.0,15.0
2020-02-24 00:00:00,22.0,0.0,18.0
2020-02-25 00:00:00,22.0,0.0,18.0
2020-02-26 00:00:00,22.0,0.0,18.0
2020-02-27 00:00:00,23.0,0.0,18.0
2020-02-28 00:00:00,23.0,0.0,18.0
2020-02-29 00:00:00,25.0,0.0,18.0
2020-03-01 00:00:00,29.0,0.0,18.0
2020-03-02 00:00:00,29.0,0.0,18.0
2020-03-03 00:00:00,36.0,0.0,22.0
2020-03-04 00:00:00,50.0,0.0,22.0
2020-03-05 00:00:00,50.0,0.0,22.0
2020-03-06 00:00:00,83.0,0.0,22.0
2020-03-07 00:00:00,93.0,0.0,23.0
2020-03-08 00:00:00,99.0,0.0,24.0
2020-03-09 00:00:00,117.0,0.0,24.0
2020-03-10 00:00:00,129.0,0.0,24.0
2020-03-11 00:00:00,149.0,0.0,26.0
2020-03-12 00:00:00,149.0,0.0,26.0
2020-03-13 00:00:00,197.0,0.0,26.0
2020-03-14 00:00:00,238.0,0.0,35.0
2020-03-15 00:00:00,428.0,0.0,42.0
2020-03-16 00:00:00,566.0,0.0,42.0
2020-03-17 00:00:00,673.0,2.0,49.0
2020-03-18 00:00:00,790.0,2.0,60.0
2020-03-19 00:00:00,900.0,2.0,75.0
2020-03-20 00:00:00,1030.0,3.0,87.0
2020-03-21 00:00:00,1183.0,4.0,114.0
2020-03-22 00:00:00,1306.0,10.0,139.0
2020-03-23 00:00:00,1518.0,14.0,139.0
2020-03-24 00:00:00,1624.0,16.0,183.0
2020-03-25 00:00:00,1796.0,20.0,199.0
2020-03-26 00:00:00,2031.0,23.0,215.0
2020-03-27 00:00:00,2161.0,26.0,259.0
2020-03-28 00:00:00,2320.0,27.0,320.0
2020-03-29 00:00:00,2470.0,35.0,388.0
2020-03-30 00:00:00,2626.0,37.0,479.0
2020-03-31 00:00:00,2766.0,43.0,537.0
2020-04-01 00:00:00,2908.0,45.0,645.0
2020-04-02 00:00:00,3116.0,50.0,767.0
2020-04-04 13:03:00,3483.0,57.0,915.0
2020-04-05 07:55:00,3483.0,57.0,915.0
2020-04-05 16:34:00,3662.0,61.0,1005.0
2020-04-05 16:34:00,3662.0,61.0,1005.0
