date,Confirmed,Deaths,Recovered
2020-01-22 00:00:00,0.0,0.0,0.0
2020-01-23 00:00:00,0.0,0.0,0.0
2020-01-24 00:00:00,0.0,0.0,0.0
2020-01-25 00:00:00,0.0,0.0,0.0
2020-01-26 00:00:00,0.0,0.0,0.0
2020-01-27 00:00:00,0.0,0.0,0.0
2020-01-28 00:00:00,0.0,0.0,0.0
2020-01-29 00:00:00,0.0,0.0,0.0
2020-01-30 00:00:00,0.0,0.0,0.0
2020-01-31 00:00:00,0.0,0.0,0.0
2020-02-01 00:00:00,0.0,0.0,0.0
2020-02-02 00:00:00,0.0,0.0,0.0
2020-02-03 00:00:00,0.0,0.0,0.0
2020-02-04 00:00:00,0.0,0.0,0.0
2020-02-05 00:00:00,0.0,0.0,0.0
2020-02-06 00:00:00,0.0,0.0,0.0
2020-02-07 00:00:00,0.0,0.0,0.0
2020-02-08 00:00:00,0.0,0.0,0.0
2020-02-09 00:00:00,0.0,0.0,0.0
2020-02-10 00:00:00,0.0,0.0,0.0
2020-02-11 00:00:00,0.0,0.0,0.0
2020-02-12 00:00:00,0.0,0.0,0.0
2020-02-13 00:00:00,0.0,0.0,0.0
2020-02-14 00:00:00,0.0,0.0,0.0
2020-02-15 00:00:00,0.0,0.0,0.0
2020-02-16 00:00:00,0.0,0.0,0.0
2020-02-17 00:00:00,0.0,0.0,0.0
2020-02-18 00:00:00,0.0,0.0,0.0
2020-02-19 00:00:00,0.0,0.0,0.0
2020-02-20 00:00:00,0.0,0.0,0.0
2020-02-21 00:00:00,0.0,0.0,0.0
2020-02-22 00:00:00,0.0,0.0,0.0
2020-02-23 00:00:00,0.0,0.0,0.0
2020-02-24 00:00:00,0.0,0.0,0.0
2020-02-25 00:00:00,0.0,0.0,0.0
2020-02-26 00:00:00,0.0,0.0,0.0
2020-02-27 00:00:00,0.0,0.0,0.0
2020-02-28 00:00:00,0.0,0.0,0.0
2020-02-29 00:00:00,0.0,0.0,0.0
2020-03-01 00:00:00,0.0,0.0,0.0
2020-03-02 00:00:00,0.0,0.0,0.0
2020-03-03 00:00:00,0.0,0.0,0.0
2020-03-04 00:00:00,0.0,0.0,0.0
2020-03-05 00:00:00,0.0,0.0,0.0
2020-03-06 00:00:00,0.0,0.0,0.0
2020-03-07 00:00:00,0.0,0.0,0.0
2020-03-08 00:00:00,1.0,0.0,0.0
2020-03-09 00:00:00,1.0,0.0,0.0
2020-03-10 00:00:00,3.0,0.0,0.0
2020-03-11 00:00:00,3.0,0.0,0.0
2020-03-12 00:00:00,3.0,0.0,0.0
2020-03-13 00:00:00,6.0,0.0,0.0
2020-03-14 00:00:00,12.0,0.0,0.0
2020-03-15 00:00:00,23.0,0.0,0.0
2020-03-16 00:00:00,23.0,0.0,0.0
2020-03-17 00:00:00,30.0,0.0,1.0
2020-03-18 00:00:00,30.0,1.0,1.0
2020-03-19 00:00:00,49.0,1.0,1.0
2020-03-20 00:00:00,66.0,1.0,1.0
2020-03-21 00:00:00,80.0,1.0,1.0
2020-03-22 00:00:00,94.0,1.0,1.0
2020-03-23 00:00:00,109.0,1.0,1.0
2020-03-24 00:00:00,125.0,1.0,2.0
2020-03-25 00:00:00,149.0,1.0,2.0
2020-03-26 00:00:00,177.0,1.0,2.0
2020-03-27 00:00:00,199.0,2.0,2.0
2020-03-28 00:00:00,231.0,2.0,2.0
2020-03-29 00:00:00,263.0,2.0,2.0
2020-03-30 00:00:00,298.0,2.0,15.0
2020-03-31 00:00:00,353.0,4.0,18.0
2020-04-01 00:00:00,423.0,5.0,23.0
2020-04-02 00:00:00,505.0,6.0,23.0
2020-04-04 13:03:00,591.0,10.0,26.0
2020-04-05 07:55:00,752.0,12.0,29.0
2020-04-05 07:55:00,752.0,12.0,29.0
