Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,03/27/2020 19:40,62,,
New South Wales,Australia,03/27/2020 19:40,1405,,
Northern Territory,Australia,03/27/2020 19:40,12,,
Queensland,Australia,03/27/2020 19:40,555,,
South Australia,Australia,03/27/2020 19:40,257,,
Tasmania,Australia,03/27/2020 19:40,46,,
Victoria,Australia,03/27/2020 19:40,574,,
Western Australia,Australia,03/27/2020 19:40,255,,
Eyibaolu,China,03/27/2020 19:40,2895,3174,61732.0
Di 欐 rot,China,03/27/2020 19:40,405,4,110.0
Right-version of the goo,China,03/27/2020 19:40,236,2,29.0
Zhenjianhanning,China,03/27/2020 19:40,153,8,408.0
Juancongdaoning,China,03/27/2020 19:40,129,5,334.0
Qiankuaminlu,China,03/27/2020 19:40,111,8,1337.0
Fuhanhuanlu,China,03/27/2020 19:40,35,1,295.0
Xianlilielu,China,03/27/2020 19:40,24,1,1222.0
Tick ​​pumping 棬,China,03/27/2020 19:40,23,0,10.0
Still water ╂ touch Ning,China,03/27/2020 19:40,19,3,133.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/27/2020 19:40,17,1,74.0
Babianminlu,China,03/27/2020 19:40,13,7,752.0
Uushanmenlu,China,03/27/2020 19:40,11,2,123.0
Chaxizhenlu,China,03/27/2020 19:40,10,0,631.0
Qiesikoulu,China,03/27/2020 19:40,9,3,536.0
闄曡Ta鐪,China,03/27/2020 19:40,8,3,242.0
Beach 戝崡 鐪,China,03/27/2020 19:40,6,2,172.0
Lichonghanlu,China,03/27/2020 19:40,3,22,1250.0
Lichongbaolu,China,03/27/2020 19:40,3,6,310.0
Read 嶅 Jenning,China,03/27/2020 19:40,2,6,570.0
Zhenzhanxiecha Xiyan,China,03/27/2020 19:40,2,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/27/2020 19:40,2,2,250.0
Ba Lu braid ta,China,03/27/2020 19:40,2,0,133.0
Chajiemulu,China,03/27/2020 19:40,2,2,124.0
鍚夋 灄鐪,China,03/27/2020 19:40,2,1,92.0
Cha Xi Lu Tatari,China,03/27/2020 19:40,1,1,934.0
Eyihanlu,China,03/27/2020 19:40,0,4,1014.0
Yuesuijionglu,China,03/27/2020 19:40,0,6,984.0
Xianfenghanlu,China,03/27/2020 19:40,0,6,162.0
Ludiandanlu,China,03/27/2020 19:40,0,2,144.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/27/2020 19:40,0,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/27/2020 19:40,0,0,75.0
Weishudaolu,China,03/27/2020 19:40,0,0,18.0
Yuan Cai hip Nielihuikui,China,03/27/2020 19:40,0,0,1.0
,,03/27/2020 19:40,,,
New York,US,03/27/2020 19:40,,,0.0
New Jersey,US,03/27/2020 19:40,,,1.0
California,US,03/27/2020 19:40,,,6.0
WA,US,03/27/2020 19:40,,150,1.0
Florida,US,03/27/2020 19:40,,,0.0
Michigan,US,03/27/2020 19:40,,61,0.0
Louisiana,US,03/27/2020 19:40,,,0.0
Illinois,US,03/27/2020 19:40,"2,544",26,2.0
Massachusetts,US,03/27/2020 19:40,"2,417",25,1.0
Pennsylvania,US,03/27/2020 19:40,,,0.0
Texas,US,03/27/2020 19:40,,24,0.0
Georgia,US,03/27/2020 19:40,"1,643",56,0.0
Colorado,US,03/27/2020 19:40,"1,430",,0.0
Tennessee,US,03/27/2020 19:40,,3,0.0
Ohio,US,03/27/2020 19:40,,,0.0
Connecticut,US,03/27/2020 19:40,"1,012",21,0.0
Indiana,US,03/27/2020 19:40,,,0.0
North Carolina,US,03/27/2020 19:40,,,0.0
Wisconsin,US,03/27/2020 19:40,,,1.0
Maryland,US,03/27/2020 19:40,,,3.0
Arizona,US,03/27/2020 19:40,,,1.0
Virginia,US,03/27/2020 19:40,,14,0.0
Mississippi,US,03/27/2020 19:40,579,8,0.0
Alabama,US,03/27/2020 19:40,,,0.0
Nevada,US,03/27/2020 19:40,,10,0.0
Missouri,US,03/27/2020 19:40,530,9,0.0
Utah,US,03/27/2020 19:40,,,0.0
South Carolina,US,03/27/2020 19:40,456,8,0.0
Minnesota,US,03/27/2020 19:40,,,0.0
Arkansas,US,03/27/2020 19:40,,,0.0
Oklahoma,US,03/27/2020 19:40,,,0.0
Oregon,US,03/27/2020 19:40,317,11,0.0
Washington DC,US,03/27/2020 19:40,,3,0.0
Kentucky,US,03/27/2020 19:40,248,5,1.0
Iowa,US,03/27/2020 19:40,,3,0.0
Kansas,US,03/27/2020 19:40,,,0.0
Idaho,US,03/27/2020 19:40,,3,0.0
Rhode Island,US,03/27/2020 19:40,,0,0.0
Vermont,US,03/27/2020 19:40,,,0.0
Maine,US,03/27/2020 19:40,,,0.0
Delaware,US,03/27/2020 19:40,,,0.0
New Hampshire,US,03/27/2020 19:40,,1,0.0
New Mexico,US,03/27/2020 19:40,136,1,0.0
Montana,US,03/27/2020 19:40,,1,0.0
Hawaii,US,03/27/2020 19:40,106,0,0.0
Nebraska,US,03/27/2020 19:40,82,0,0.0
Puerto Rico,US,03/27/2020 19:40,,,1.0
West Virginia,US,03/27/2020 19:40,76,,0.0
Wyoming,US,03/27/2020 19:40,,0,0.0
Alaska,US,03/27/2020 19:40,,1,0.0
North Dakota,US,03/27/2020 19:40,,0,0.0
South Dakota,US,03/27/2020 19:40,,1,0.0
Guam,US,03/27/2020 19:40,,1,0.0
,,03/27/2020 19:40,49,0,
,,03/27/2020 19:40,28,3,
US Virgin Islands,US,03/27/2020 19:40,17,0,0.0
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,,150,
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,,61,
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,"2,544",26,
,,03/27/2020 19:40,"2,417",25,
,,03/27/2020 19:40,,,
,,03/27/2020 19:40,,24,
,,03/27/2020 19:40,"1,643",56,
,,03/27/2020 19:40,"1,430",,
,,03/27/2020 19:40,,3,
,,03/27/2020 19:40,,,
