Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Australian Capital Territory,Australia,03/28/2020 08:42,71,,
New South Wales,Australia,03/28/2020 08:42,1617,,
Northern Territory,Australia,03/28/2020 08:42,14,,
Queensland,Australia,03/28/2020 08:42,625,,
South Australia,Australia,03/28/2020 08:42,287,,
Tasmania,Australia,03/28/2020 08:42,58,,
Victoria,Australia,03/28/2020 08:42,685,,
Western Australia,Australia,03/28/2020 08:42,278,,
Eyibaolu,China,03/28/2020 08:42,2526,3177,62098.0
Di 欐 rot,China,03/28/2020 08:42,403,4,111.0
Right-version of the goo,China,03/28/2020 08:42,251,2,30.0
Zhenjianhanning,China,03/28/2020 08:42,155,8,410.0
Juancongdaoning,China,03/28/2020 08:42,146,5,334.0
Qiankuaminlu,China,03/28/2020 08:42,118,8,1341.0
Fuhanhuanlu,China,03/28/2020 08:42,41,1,295.0
Xianlilielu,China,03/28/2020 08:42,25,1,1225.0
Still water ╂ touch Ning,China,03/28/2020 08:42,25,3,133.0
Tick ​​pumping 棬,China,03/28/2020 08:42,25,0,10.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/28/2020 08:42,19,1,74.0
Babianminlu,China,03/28/2020 08:42,13,7,752.0
Chaxizhenlu,China,03/28/2020 08:42,10,0,631.0
Qiesikoulu,China,03/28/2020 08:42,9,3,536.0
Uushanmenlu,China,03/28/2020 08:42,9,2,125.0
闄曡Ta鐪,China,03/28/2020 08:42,8,3,242.0
Beach 戝崡 鐪,China,03/28/2020 08:42,6,2,172.0
Chajiemulu,China,03/28/2020 08:42,5,2,124.0
鍚夋 灄鐪,China,03/28/2020 08:42,4,1,92.0
Lichongbaolu,China,03/28/2020 08:42,3,6,310.0
Lichonghanlu,China,03/28/2020 08:42,2,22,1251.0
Read 嶅 Jenning,China,03/28/2020 08:42,2,6,570.0
Zhenzhanxiecha Xiyan,China,03/28/2020 08:42,2,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/28/2020 08:42,2,2,250.0
Ba Lu braid ta,China,03/28/2020 08:42,2,0,133.0
Cha Xi Lu Tatari,China,03/28/2020 08:42,1,1,934.0
Eyihanlu,China,03/28/2020 08:42,0,4,1014.0
Yuesuijionglu,China,03/28/2020 08:42,0,6,984.0
Xianfenghanlu,China,03/28/2020 08:42,0,6,162.0
Ludiandanlu,China,03/28/2020 08:42,0,2,144.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/28/2020 08:42,0,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/28/2020 08:42,0,0,75.0
Weishudaolu,China,03/28/2020 08:42,0,0,18.0
Yuan Cai hip Nielihuikui,China,03/28/2020 08:42,0,0,1.0
,,03/28/2020 08:42,Confirmed,Deaths,
,,03/28/2020 08:42,"104,848",,
New York,US,03/28/2020 08:42,"46,094",605,
New Jersey,US,03/28/2020 08:42,"8,825",108,
California,US,03/28/2020 08:42,"4,885",102,
WA,US,03/28/2020 08:42,"3,726",175,
Michigan,US,03/28/2020 08:42,"3,657",92,
Massachusetts,US,03/28/2020 08:42,"3,240",35,
Florida,US,03/28/2020 08:42,"3,198",46,
Illinois,US,03/28/2020 08:42,"3,029",34,
Louisiana,US,03/28/2020 08:42,"2,746",119,
Pennsylvania,US,03/28/2020 08:42,"2,345",23,
Georgia,US,03/28/2020 08:42,"2,198",65,
Texas,US,03/28/2020 08:42,"2,009",26,
Colorado,US,03/28/2020 08:42,"1,740",31,
Tennessee,US,03/28/2020 08:42,"1,321",6,
Connecticut,US,03/28/2020 08:42,"1,291",27,
Ohio,US,03/28/2020 08:42,"1,139",19,
Indiana,US,03/28/2020 08:42,981,25,
North Carolina,US,03/28/2020 08:42,944,5,
Wisconsin,US,03/28/2020 08:42,926,14,
Maryland,US,03/28/2020 08:42,781,5,
Missouri,US,03/28/2020 08:42,709,9,
Arizona,US,03/28/2020 08:42,665,13,
Alabama,US,03/28/2020 08:42,639,4,
Nevada,US,03/28/2020 08:42,621,10,
Virginia,US,03/28/2020 08:42,610,16,
Mississippi,US,03/28/2020 08:42,579,8,
South Carolina,US,03/28/2020 08:42,542,13,
Utah,US,03/28/2020 08:42,480,2,
Oregon,US,03/28/2020 08:42,414,12,
Minnesota,US,03/28/2020 08:42,398,4,
Arkansas,US,03/28/2020 08:42,386,3,
Oklahoma,US,03/28/2020 08:42,322,8,
Washington DC,US,03/28/2020 08:42,304,4,
Kentucky,US,03/28/2020 08:42,302,7,
Iowa,US,03/28/2020 08:42,235,3,
Idaho,US,03/28/2020 08:42,234,4,
Kansas,US,03/28/2020 08:42,219,4,
Rhode Island,US,03/28/2020 08:42,203,0,
New Mexico,US,03/28/2020 08:42,191,1,
New Hampshire,US,03/28/2020 08:42,187,2,
Vermont,US,03/28/2020 08:42,184,10,
Maine,US,03/28/2020 08:42,168,1,
Delaware,US,03/28/2020 08:42,165,2,
Montana,US,03/28/2020 08:42,121,1,
Hawaii,US,03/28/2020 08:42,120,0,
,,03/28/2020 08:42,103,3,
West Virginia,US,03/28/2020 08:42,96,0,
Nebraska,US,03/28/2020 08:42,90,2,
Alaska,US,03/28/2020 08:42,85,,
Puerto Rico,US,03/28/2020 08:42,79,3,
Wyoming,US,03/28/2020 08:42,73,0,
North Dakota,US,03/28/2020 08:42,68,1,
South Dakota,US,03/28/2020 08:42,58,1,
Guam,US,03/28/2020 08:42,51,1,
,,03/28/2020 08:42,49,0,
US Virgin Islands,US,03/28/2020 08:42,19,0,
,,03/28/2020 08:42,Confirmed,Deaths,
,,03/28/2020 08:42,"104,848",,
,,03/28/2020 08:42,"46,094",605,
,,03/28/2020 08:42,"8,825",108,
,,03/28/2020 08:42,"4,885",102,
,,03/28/2020 08:42,"3,726",175,
,,03/28/2020 08:42,"3,657",92,
,,03/28/2020 08:42,"3,240",35,
,,03/28/2020 08:42,"3,198",46,
,,03/28/2020 08:42,"3,029",34,
,,03/28/2020 08:42,"2,746",119,
,,03/28/2020 08:42,"2,345",23,
,,03/28/2020 08:42,"2,198",65,
,,03/28/2020 08:42,"2,009",26,
,,03/28/2020 08:42,"1,740",31,
,,03/28/2020 08:42,"1,321",6,
,,03/28/2020 08:42,"1,291",27,
,,03/28/2020 08:42,"1,139",19,
,,03/28/2020 08:42,981,25,
,,03/28/2020 08:42,944,5,
,,03/28/2020 08:42,926,14,
,,03/28/2020 08:42,781,5,
,,03/28/2020 08:42,709,9,
,,03/28/2020 08:42,665,13,
,,03/28/2020 08:42,639,4,
,,03/28/2020 08:42,621,10,
,,03/28/2020 08:42,610,16,
,,03/28/2020 08:42,579,8,
,,03/28/2020 08:42,542,13,
,,03/28/2020 08:42,480,2,
,,03/28/2020 08:42,414,12,
,,03/28/2020 08:42,398,4,
,,03/28/2020 08:42,386,3,
,,03/28/2020 08:42,322,8,
,,03/28/2020 08:42,304,4,
,,03/28/2020 08:42,302,7,
,,03/28/2020 08:42,235,3,
,,03/28/2020 08:42,234,4,
,,03/28/2020 08:42,219,4,
,,03/28/2020 08:42,203,0,
,,03/28/2020 08:42,191,1,
,,03/28/2020 08:42,187,2,
,,03/28/2020 08:42,184,10,
,,03/28/2020 08:42,168,1,
,,03/28/2020 08:42,165,2,
,,03/28/2020 08:42,121,1,
,,03/28/2020 08:42,120,0,
Grand Princess,US,03/28/2020 08:42,103,3,
,,03/28/2020 08:42,96,0,
,,03/28/2020 08:42,90,2,
,,03/28/2020 08:42,85,,
,,03/28/2020 08:42,79,3,
,,03/28/2020 08:42,73,0,
,,03/28/2020 08:42,68,1,
,,03/28/2020 08:42,58,1,
,,03/28/2020 08:42,51,1,
Diamond Princess,US,03/28/2020 08:42,49,0,
,,03/28/2020 08:42,19,0,
,,03/28/2020 08:42,4,0,
,US,03/28/2020 08:42,104256,1704,2525.0
,Italy,03/28/2020 08:42,86498,9134,10950.0
,Spain,03/28/2020 08:42,65719,5138,9357.0
,Germany,03/28/2020 08:42,53340,395,6658.0
,France,03/28/2020 08:42,32964,1995,5700.0
,Iran,03/28/2020 08:42,32332,2378,11133.0
,United Kingdom,03/28/2020 08:42,14543,759,135.0
,Switzerland,03/28/2020 08:42,12928,231,1530.0
,South Korea,03/28/2020 08:42,9478,144,4811.0
,Netherlands,03/28/2020 08:42,8603,546,3.0
,Austria,03/28/2020 08:42,7712,58,225.0
Brussels,Belgium,03/28/2020 08:42,7284,289,858.0
,Turkey,03/28/2020 08:42,5698,92,42.0
,Portugal,03/28/2020 08:42,4268,76,43.0
,Norway,03/28/2020 08:42,3773,19,7.0
,Brazil,03/28/2020 08:42,3477,93,6.0
,Israel,03/28/2020 08:42,3460,12,89.0
,Sweden,03/28/2020 08:42,3069,105,16.0
,Czechia,03/28/2020 08:42,2279,9,11.0
,Malaysia,03/28/2020 08:42,2161,26,259.0
,Ireland,03/28/2020 08:42,2121,22,5.0
,Denmark,03/28/2020 08:42,2046,52,1.0
,Ecuador,03/28/2020 08:42,1627,41,3.0
,Chile,03/28/2020 08:42,1610,5,43.0
,Luxembourg,03/28/2020 08:42,1605,15,40.0
,Japan,03/28/2020 08:42,1499,49,372.0
,Poland,03/28/2020 08:42,1436,16,7.0
,Pakistan,03/28/2020 08:42,1408,11,25.0
,Romania,03/28/2020 08:42,1292,26,115.0
,Thailand,03/28/2020 08:42,1245,6,97.0
,South Africa,03/28/2020 08:42,1170,1,31.0
,Finland,03/28/2020 08:42,1165,7,10.0
,Saudi Arabia,03/28/2020 08:42,1104,3,35.0
,Indonesia,03/28/2020 08:42,1046,87,46.0
,Russia,03/28/2020 08:42,1036,4,45.0
,Greece,03/28/2020 08:42,966,28,52.0
,India,03/28/2020 08:42,908,20,83.0
,Iceland,03/28/2020 08:42,890,2,97.0
,Philippines,03/28/2020 08:42,803,54,31.0
,Panama,03/28/2020 08:42,786,14,2.0
,Singapore,03/28/2020 08:42,732,2,183.0
,Mexico,03/28/2020 08:42,717,12,4.0
Yokohama,Japan,03/28/2020 08:42,712,10,597.0
,Argentina,03/28/2020 08:42,690,17,72.0
,Peru,03/28/2020 08:42,635,11,16.0
,Croatia,03/28/2020 08:42,635,4,45.0
,Slovenia,03/28/2020 08:42,632,9,10.0
,Dominican Republic,03/28/2020 08:42,581,20,3.0
,Estonia,03/28/2020 08:42,575,1,11.0
,Qatar,03/28/2020 08:42,562,0,43.0
,Colombia,03/28/2020 08:42,539,6,10.0
,Egypt,03/28/2020 08:42,536,30,116.0
,Serbia,03/28/2020 08:42,528,8,42.0
Hong Kong,Hong Kong,03/28/2020 08:42,519,4,111.0
,Bahrain,03/28/2020 08:42,473,4,254.0
,Iraq,03/28/2020 08:42,458,40,122.0
,New Zealand,03/28/2020 08:42,451,0,50.0
,Algeria,03/28/2020 08:42,409,26,29.0
,United Arab Emirates,03/28/2020 08:42,405,2,52.0
,Lebanon,03/28/2020 08:42,391,8,27.0
,Lithuania,03/28/2020 08:42,382,5,1.0
,Armenia,03/28/2020 08:42,372,1,28.0
,Morocco,03/28/2020 08:42,358,23,11.0
,Hungary,03/28/2020 08:42,343,11,34.0
,Bulgaria,03/28/2020 08:42,313,4,9.0
,Ukraine,03/28/2020 08:42,310,5,5.0
,Latvia,03/28/2020 08:42,305,0,1.0
,Uruguay,03/28/2020 08:42,274,0,0.0
,Slovakia,03/28/2020 08:42,269,0,2.0
,Andorra,03/28/2020 08:42,267,3,1.0
Taiwan,Taiwan,03/28/2020 08:42,267,2,30.0
,Costa Rica,03/28/2020 08:42,263,2,3.0
,Bosnia and Herzegovina,03/28/2020 08:42,237,4,5.0
,Jordan,03/28/2020 08:42,235,1,18.0
,Tunisia,03/28/2020 08:42,227,7,2.0
,Kuwait,03/28/2020 08:42,225,0,57.0
,San Marino,03/28/2020 08:42,223,21,6.0
,North Macedonia,03/28/2020 08:42,219,3,3.0
,Moldova,03/28/2020 08:42,199,2,2.0
,Albania,03/28/2020 08:42,186,8,31.0
,Burkina Faso,03/28/2020 08:42,180,9,12.0
,Vietnam,03/28/2020 08:42,169,0,20.0
,Azerbaijan,03/28/2020 08:42,165,3,15.0
,Cyprus,03/28/2020 08:42,162,5,15.0
,Oman,03/28/2020 08:42,152,0,23.0
,Kazakhstan,03/28/2020 08:42,150,1,3.0
,Reunion,03/28/2020 08:42,145,0,1.0
,Faeroe Islands,03/28/2020 08:42,144,0,54.0
,Malta,03/28/2020 08:42,139,0,2.0
,Ghana,03/28/2020 08:42,137,4,2.0
,Senegal,03/28/2020 08:42,119,0,11.0
,Brunei,03/28/2020 08:42,115,1,11.0
,Venezuela,03/28/2020 08:42,113,2,31.0
,Afghanistan,03/28/2020 08:42,110,4,2.0
,Sri Lanka,03/28/2020 08:42,106,0,9.0
,Uzbekistan,03/28/2020 08:42,104,2,5.0
,Ivory Coast,03/28/2020 08:42,101,0,3.0
,Cambodia,03/28/2020 08:42,99,0,13.0
,Honduras,03/28/2020 08:42,95,1,3.0
,Mauritius,03/28/2020 08:42,94,2,0.0
,Belarus,03/28/2020 08:42,94,0,32.0
,Martinique,03/28/2020 08:42,93,1,0.0
,Cameroon,03/28/2020 08:42,91,2,2.0
,Palestine,03/28/2020 08:42,91,1,17.0
,Channel Islands,03/28/2020 08:42,88,1,0.0
,Georgia,03/28/2020 08:42,85,0,14.0
,Montenegro,03/28/2020 08:42,82,1,0.0
,Nigeria,03/28/2020 08:42,81,1,3.0
,Cuba,03/28/2020 08:42,80,2,4.0
,Bolivia,03/28/2020 08:42,74,0,0.0
,Guadeloupe,03/28/2020 08:42,73,1,0.0
,Trinidad and Tobago,03/28/2020 08:42,66,2,1.0
,Kyrgyzstan,03/28/2020 08:42,58,0,0.0
,Paraguay,03/28/2020 08:42,56,3,1.0
,Liechtenstein,03/28/2020 08:42,56,0,0.0
,Gibraltar,03/28/2020 08:42,55,0,14.0
,Rwanda,03/28/2020 08:42,54,0,0.0
,DRC,03/28/2020 08:42,51,3,2.0
,Mayotte,03/28/2020 08:42,50,0,0.0
,Bangladesh,03/28/2020 08:42,48,5,15.0
,Monaco,03/28/2020 08:42,42,0,1.0
Macau,Macau,03/28/2020 08:42,34,0,10.0
,Aruba,03/28/2020 08:42,33,0,1.0
,Guatemala,03/28/2020 08:42,32,1,4.0
,Kenya,03/28/2020 08:42,31,1,1.0
,Jamaica,03/28/2020 08:42,30,1,2.0
,French Polynesia,03/28/2020 08:42,30,0,0.0
,Isle of Man,03/28/2020 08:42,29,0,0.0
,French Guiana,03/28/2020 08:42,28,0,6.0
,Barbados,03/28/2020 08:42,26,0,0.0
,Madagascar,03/28/2020 08:42,26,0,0.0
,Togo,03/28/2020 08:42,25,1,1.0
,Uganda,03/28/2020 08:42,23,0,0.0
,Zambia,03/28/2020 08:42,22,0,0.0
