Country/Region,Confirmed,Deaths,Recovered,Last Update
China,81285,3287,74051,03/26/2020 22:16
USA,82547,1182,1864,03/26/2020 22:16
Italy,80589,8215,10361,03/26/2020 22:16
Spain,57786,4365,7015,03/26/2020 22:16
Germany,43938,267,5673,03/26/2020 22:16
Iran,29406,2234,10457,03/26/2020 22:16
France,29155,1696,4948,03/26/2020 22:16
Switzerland,11811,191,131,03/26/2020 22:16
UK,11658,578,135,03/26/2020 22:16
S. Korea,9241,131,4144,03/26/2020 22:16
Netherlands,7431,434,3,03/26/2020 22:16
Austria,6847,49,112,03/26/2020 22:16
Belgium,6235,220,675,03/26/2020 22:16
Canada,3910,39,199,03/26/2020 22:16
Turkey,3629,75,26,03/26/2020 22:16
Portugal,3544,60,43,03/26/2020 22:16
Norway,3369,14,6,03/26/2020 22:16
Australia,2985,13,170,03/26/2020 22:16
Brazil,2915,77,6,03/26/2020 22:16
Sweden,2840,77,16,03/26/2020 22:16
Israel,2693,8,68,03/26/2020 22:16
Malaysia,2031,23,215,03/26/2020 22:16
Czechia,1925,9,10,03/26/2020 22:16
Denmark,1877,41,1,03/26/2020 22:16
Ireland,1819,19,5,03/26/2020 22:16
Luxembourg,1453,9,6,03/26/2020 22:16
Japan,1399,47,359,03/26/2020 22:16
Ecuador,1382,34,3,03/26/2020 22:16
Chile,1306,4,22,03/26/2020 22:16
Poland,1221,16,7,03/26/2020 22:16
Pakistan,1179,9,21,03/26/2020 22:16
Thailand,1045,4,88,03/26/2020 22:16
Romania,1029,23,94,03/26/2020 22:16
Saudi Arabia,1012,3,33,03/26/2020 22:16
Finland,958,5,10,03/26/2020 22:16
South Africa,927,0,12,03/26/2020 22:16
Indonesia,893,78,35,03/26/2020 22:16
Greece,892,26,36,03/26/2020 22:16
Russia,840,3,38,03/26/2020 22:16
Iceland,802,2,68,03/26/2020 22:16
India,722,16,45,03/26/2020 22:16
Diamond Princess,712,10,597,03/26/2020 22:16
Philippines,707,45,28,03/26/2020 22:16
Singapore,683,2,172,03/26/2020 22:16
Peru,580,9,14,03/26/2020 22:16
Slovenia,562,6,10,03/26/2020 22:16
Panama,558,8,2,03/26/2020 22:16
Qatar,549,0,43,03/26/2020 22:16
Estonia,538,1,8,03/26/2020 22:16
Argentina,502,8,63,03/26/2020 22:16
Egypt,495,24,102,03/26/2020 22:16
Croatia,495,3,22,03/26/2020 22:16
Colombia,491,6,8,03/26/2020 22:16
Dominican Republic,488,10,3,03/26/2020 22:16
Mexico,475,6,4,03/26/2020 22:16
Bahrain,458,4,204,03/26/2020 22:16
Serbia,457,7,15,03/26/2020 22:16
Hong Kong,453,4,110,03/26/2020 22:16
Iraq,382,36,105,03/26/2020 22:16
Lebanon,368,6,23,03/26/2020 22:16
Algeria,367,25,29,03/26/2020 22:16
UAE,333,2,52,03/26/2020 22:16
Lithuania,299,4,1,03/26/2020 22:16
Armenia,290,1,18,03/26/2020 22:16
New Zealand,283,0,27,03/26/2020 22:16
Morocco,275,10,8,03/26/2020 22:16
Bulgaria,264,3,8,03/26/2020 22:16
Hungary,261,10,28,03/26/2020 22:16
Taiwan,252,2,29,03/26/2020 22:16
Latvia,244,0,1,03/26/2020 22:16
Costa Rica,231,2,2,03/26/2020 22:16
Slovakia,226,0,2,03/26/2020 22:16
Andorra,224,3,1,03/26/2020 22:16
Uruguay,217,0,0,03/26/2020 22:16
Jordan,212,0,1,03/26/2020 22:16
San Marino,208,21,4,03/26/2020 22:16
Kuwait,208,0,49,03/26/2020 22:16
North Macedonia,201,3,3,03/26/2020 22:16
Tunisia,197,6,2,03/26/2020 22:16
Ukraine,196,5,1,03/26/2020 22:16
Bosnia and Herzegovina,189,3,2,03/26/2020 22:16
Moldova,177,1,2,03/26/2020 22:16
Albania,174,6,17,03/26/2020 22:16
Vietnam,153,0,20,03/26/2020 22:16
Burkina Faso,152,7,10,03/26/2020 22:16
Cyprus,146,3,4,03/26/2020 22:16
Faeroe Islands,140,0,47,03/26/2020 22:16
Réunion,135,0,1,03/26/2020 22:16
Malta,134,0,2,03/26/2020 22:16
Ghana,132,4,1,03/26/2020 22:16
Azerbaijan,122,3,15,03/26/2020 22:16
Brunei,114,0,5,03/26/2020 22:16
Kazakhstan,111,1,2,03/26/2020 22:16
Oman,109,0,23,03/26/2020 22:16
Venezuela,107,0,15,03/26/2020 22:16
Sri Lanka,106,0,7,03/26/2020 22:16
Senegal,105,0,9,03/26/2020 22:16
Cambodia,96,0,10,03/26/2020 22:16
Ivory Coast,96,0,3,03/26/2020 22:16
Afghanistan,94,4,2,03/26/2020 22:16
Belarus,86,0,29,03/26/2020 22:16
Palestine,84,1,17,03/26/2020 22:16
Mauritius,81,2,0,03/26/2020 22:16
Georgia,79,0,11,03/26/2020 22:16
Cameroon,75,1,2,03/26/2020 22:16
Uzbekistan,75,0,0,03/26/2020 22:16
Guadeloupe,73,1,0,03/26/2020 22:16
Montenegro,69,1,0,03/26/2020 22:16
Cuba,67,1,1,03/26/2020 22:16
Channel Islands,66,1,0,03/26/2020 22:16
Martinique,66,1,0,03/26/2020 22:16
Nigeria,65,1,2,03/26/2020 22:16
Trinidad and Tobago,65,1,0,03/26/2020 22:16
Liechtenstein,56,0,0,03/26/2020 22:16
Honduras,52,1,0,03/26/2020 22:16
DRC,51,3,0,03/26/2020 22:16
Bangladesh,44,5,11,03/26/2020 22:16
Kyrgyzstan,44,0,0,03/26/2020 22:16
Bolivia,43,0,0,03/26/2020 22:16
Paraguay,41,3,0,03/26/2020 22:16
Rwanda,41,0,0,03/26/2020 22:16
Mayotte,36,0,0,03/26/2020 22:16
Gibraltar,35,0,13,03/26/2020 22:16
Monaco,33,0,1,03/26/2020 22:16
Kenya,31,1,1,03/26/2020 22:16
Macao,31,0,10,03/26/2020 22:16
French Polynesia,30,0,0,03/26/2020 22:16
French Guiana,28,0,6,03/26/2020 22:16
Jamaica,26,1,2,03/26/2020 22:16
Isle of Man,25,0,0,03/26/2020 22:16
Guatemala,24,1,4,03/26/2020 22:16
Madagascar,23,0,0,03/26/2020 22:16
Togo,23,0,1,03/26/2020 22:16
Aruba,19,0,1,03/26/2020 22:16
Barbados,18,0,0,03/26/2020 22:16
Zambia,16,0,0,03/26/2020 22:16
New Caledonia,14,0,0,03/26/2020 22:16
Uganda,14,0,0,03/26/2020 22:16
El Salvador,13,0,0,03/26/2020 22:16
Maldives,13,0,8,03/26/2020 22:16
Tanzania,13,0,0,03/26/2020 22:16
Equatorial Guinea,12,0,0,03/26/2020 22:16
Ethiopia,12,0,0,03/26/2020 22:16
Djibouti,11,0,0,03/26/2020 22:16
Dominica,11,0,0,03/26/2020 22:16
Mongolia,11,0,0,03/26/2020 22:16
Saint Martin,11,0,0,03/26/2020 22:16
Niger,10,1,0,03/26/2020 22:16
Cayman Islands,8,1,0,03/26/2020 22:16
Haiti,8,0,0,03/26/2020 22:16
Namibia,8,0,2,03/26/2020 22:16
Suriname,8,0,0,03/26/2020 22:16
Gabon,7,1,0,03/26/2020 22:16
Bermuda,7,0,2,03/26/2020 22:16
Grenada,7,0,0,03/26/2020 22:16
Mozambique,7,0,0,03/26/2020 22:16
Seychelles,7,0,0,03/26/2020 22:16
Curaçao,6,1,2,03/26/2020 22:16
Benin,6,0,0,03/26/2020 22:16
Greenland,6,0,2,03/26/2020 22:16
Laos,6,0,0,03/26/2020 22:16
Eswatini,6,0,0,03/26/2020 22:16
Guyana,5,1,0,03/26/2020 22:16
Bahamas,5,0,1,03/26/2020 22:16
Fiji,5,0,0,03/26/2020 22:16
Syria,5,0,0,03/26/2020 22:16
Cabo Verde,4,1,0,03/26/2020 22:16
Angola,4,0,0,03/26/2020 22:16
Congo,4,0,0,03/26/2020 22:16
Eritrea,4,0,0,03/26/2020 22:16
Guinea,4,0,0,03/26/2020 22:16
Vatican City,4,0,0,03/26/2020 22:16
Mali,4,0,0,03/26/2020 22:16
Gambia,3,1,0,03/26/2020 22:16
Sudan,3,1,0,03/26/2020 22:16
Zimbabwe,3,1,0,03/26/2020 22:16
Nepal,3,0,1,03/26/2020 22:16
Antigua and Barbuda,3,0,0,03/26/2020 22:16
CAR,3,0,0,03/26/2020 22:16
Chad,3,0,0,03/26/2020 22:16
Liberia,3,0,0,03/26/2020 22:16
Mauritania,3,0,0,03/26/2020 22:16
Myanmar,3,0,0,03/26/2020 22:16
St. Barth,3,0,0,03/26/2020 22:16
Saint Lucia,3,0,0,03/26/2020 22:16
Sint Maarten,3,0,0,03/26/2020 22:16
Belize,2,0,0,03/26/2020 22:16
Bhutan,2,0,0,03/26/2020 22:16
British Virgin Islands,2,0,0,03/26/2020 22:16
Guinea-Bissau,2,0,0,03/26/2020 22:16
Montserrat,2,0,0,03/26/2020 22:16
Nicaragua,2,0,0,03/26/2020 22:16
Saint Kitts and Nevis,2,0,0,03/26/2020 22:16
Somalia,2,0,0,03/26/2020 22:16
Turks and Caicos,2,0,0,03/26/2020 22:16
Libya,1,0,0,03/26/2020 22:16
Papua New Guinea,1,0,0,03/26/2020 22:16
St. Vincent Grenadines,1,0,0,03/26/2020 22:16
Timor-Leste,1,0,0,03/26/2020 22:16
