Country/Region,confirmed,deaths,recovered,Last Update
US,124735,2195,3238,03/29/2020 14:46
Italy,92472,10023,12384,03/29/2020 14:46
China,81439,3300,75448,03/29/2020 14:46
Spain,78797,6528,14709,03/29/2020 14:46
Germany,58247,455,8481,03/29/2020 14:46
Iran,38309,2640,12391,03/29/2020 14:46
France,37575,2314,5700,03/29/2020 14:46
United Kingdom,19522,1228,135,03/29/2020 14:46
Switzerland,14593,290,1595,03/29/2020 14:46
Netherlands,10866,771,3,03/29/2020 14:46
Belgium,10836,431,1359,03/29/2020 14:46
South Korea,9583,152,5033,03/29/2020 14:46
Austria,8536,86,479,03/29/2020 14:46
Turkey,7402,108,70,03/29/2020 14:46
Portugal,5655,60,43,03/29/2020 14:46
Canada,5655,61,508,03/29/2020 14:46
Norway,3966,25,7,03/29/2020 14:46
Australia,3969,16,226,03/29/2020 14:46
Brazil,3904,117,6,03/29/2020 14:46
Israel,3865,14,89,03/29/2020 14:46
Sweden,3700,110,16,03/29/2020 14:46
Czechia,2697,13,11,03/29/2020 14:46
Malaysia,2470,34,388,03/29/2020 14:46
Ireland,2415,36,5,03/29/2020 14:46
Denmark,2395,72,1,03/29/2020 14:46
Chile,1909,6,61,03/29/2020 14:46
Luxembourg,1831,18,40,03/29/2020 14:46
Ecuador,1823,48,3,03/29/2020 14:46
Poland,1771,20,7,03/29/2020 14:46
Romania,1760,40,169,03/29/2020 14:46
Japan,1693,52,424,03/29/2020 14:46
Russia,1534,8,64,03/29/2020 14:46
Pakistan,1526,13,29,03/29/2020 14:46
Philippines,1418,71,42,03/29/2020 14:46
Thailand,1388,7,97,03/29/2020 14:46
Saudi Arabia,1299,8,66,03/29/2020 14:46
Indonesia,1285,114,64,03/29/2020 14:46
Finland,1239,11,10,03/29/2020 14:46
South Africa,1187,1,31,03/29/2020 14:46
Greece,1061,37,52,03/29/2020 14:46
India,987,25,87,03/29/2020 14:46
Iceland,963,2,114,03/29/2020 14:46
Panama,901,17,4,03/29/2020 14:46
Mexico,848,16,4,03/29/2020 14:46
Singapore,844,3,212,03/29/2020 14:46
Argentina,745,19,72,03/29/2020 14:46
Serbia,741,13,42,03/29/2020 14:46
Slovenia,730,11,10,03/29/2020 14:46
Dominican Republic,719,28,3,03/29/2020 14:46
Croatia,713,6,52,03/29/2020 14:46
Diamond Princess,712,10,597,03/29/2020 14:46
Estonia,679,3,20,03/29/2020 14:46
Peru,671,16,16,03/29/2020 14:46
Hong Kong,641,4,118,03/29/2020 14:46
Colombia,608,6,10,03/29/2020 14:46
Qatar,590,1,45,03/29/2020 14:46
Egypt,576,36,121,03/29/2020 14:46
Iraq,547,42,143,03/29/2020 14:46
New Zealand,514,1,56,03/29/2020 14:46
Bahrain,499,4,272,03/29/2020 14:46
United Arab Emirates,468,2,55,03/29/2020 14:46
Algeria,454,29,31,03/29/2020 14:46
Morocco,450,26,13,03/29/2020 14:46
Lebanon,438,10,30,03/29/2020 14:46
Lithuania,437,7,1,03/29/2020 14:46
Armenia,424,3,30,03/29/2020 14:46
Ukraine,418,9,5,03/29/2020 14:46
Hungary,408,13,34,03/29/2020 14:46
Latvia,347,0,1,03/29/2020 14:46
Bulgaria,338,8,11,03/29/2020 14:46
Bosnia and Herzegovina,323,6,8,03/29/2020 14:46
Slovakia,314,0,2,03/29/2020 14:46
Andorra,308,4,1,03/29/2020 14:46
Uruguay,304,1,0,03/29/2020 14:46
Taiwan,298,2,39,03/29/2020 14:46
Costa Rica,295,2,3,03/29/2020 14:46
Tunisia,278,8,2,03/29/2020 14:46
North Macedonia,259,6,3,03/29/2020 14:46
Kuwait,255,0,67,03/29/2020 14:46
Kazakhstan,251,1,18,03/29/2020 14:46
Jordan,246,1,18,03/29/2020 14:46
Moldova,231,2,2,03/29/2020 14:46
San Marino,224,22,6,03/29/2020 14:46
Albania,212,10,33,03/29/2020 14:46
Burkina Faso,207,11,21,03/29/2020 14:46
Vietnam,188,0,21,03/29/2020 14:46
Reunion,183,0,1,03/29/2020 14:46
Azerbaijan,182,4,15,03/29/2020 14:46
Cyprus,179,5,15,03/29/2020 14:46
Oman,167,0,23,03/29/2020 14:46
Faeroe Islands,159,0,70,03/29/2020 14:46
Ghana,152,5,2,03/29/2020 14:46
Malta,151,0,2,03/29/2020 14:46
Senegal,142,0,27,03/29/2020 14:46
Ivory Coast,140,0,3,03/29/2020 14:46
Uzbekistan,133,2,7,03/29/2020 14:46
Brunei,126,1,34,03/29/2020 14:46
Afghanistan,120,4,2,03/29/2020 14:46
Cuba,119,3,4,03/29/2020 14:46
Venezuela,119,2,39,03/29/2020 14:46
Sri Lanka,115,1,10,03/29/2020 14:46
Honduras,110,1,3,03/29/2020 14:46
Palestine,106,1,18,03/29/2020 14:46
Cambodia,103,0,21,03/29/2020 14:46
Mauritius,102,2,0,03/29/2020 14:46
Guadeloupe,102,2,17,03/29/2020 14:46
Channel Islands,100,1,0,03/29/2020 14:46
Nigeria,97,1,3,03/29/2020 14:46
Belarus,94,0,32,03/29/2020 14:46
