,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,14736,404,1511,0 days 12:39:00.000000000
2,Spain,6213,589,3388,0 days 12:39:00.000000000
5,France,4861,509,1490,0 days 12:39:00.000000000
1,Italy,4782,727,1118,0 days 12:39:00.000000000
4,Germany,4736,83,2600,0 days 12:39:00.000000000
7,United Kingdom,4324,563,0,0 days 12:39:00.000000000
6,Iran,2988,138,817,0 days 12:39:00.000000000
9,Turkey,2148,63,90,0 days 12:39:00.000000000
10,Belgium,1189,123,436,0 days 12:39:00.000000000
11,Netherlands,1019,134,0,0 days 12:39:00.000000000
14,Canada,875,6,203,0 days 12:39:00.000000000
15,Portugal,808,27,0,0 days 12:39:00.000000000
8,Switzerland,532,28,1144,0 days 12:39:00.000000000
18,Sweden,512,59,0,0 days 12:39:00.000000000
12,Austria,483,18,341,0 days 12:39:00.000000000
27,Ecuador,446,14,0,0 days 12:39:00.000000000
26,Russia,440,7,69,0 days 12:39:00.000000000
24,Chile,293,4,78,0 days 12:39:00.000000000
41,Peru,258,0,0,0 days 12:39:00.000000000
34,India,244,0,0,0 days 12:39:00.000000000
17,Israel,233,5,2,0 days 12:39:00.000000000
23,Denmark,232,14,893,0 days 12:39:00.000000000
31,Philippines,227,8,1,0 days 12:39:00.000000000
28,Romania,215,4,32,0 days 12:39:00.000000000
22,Ireland,212,14,0,0 days 12:39:00.000000000
21,Czechia,200,8,16,0 days 12:39:00.000000000
20,Norway,187,5,0,0 days 12:39:00.000000000
42,Dominican Republic,175,6,4,0 days 12:39:00.000000000
46,Serbia,160,5,0,0 days 12:39:00.000000000
36,Saudi Arabia,157,6,99,0 days 12:39:00.000000000
19,Australia,153,0,0,0 days 12:39:00.000000000
37,Indonesia,149,21,22,0 days 12:39:00.000000000
25,Malaysia,142,2,108,0 days 12:39:00.000000000
30,Luxembourg,141,6,0,0 days 12:39:00.000000000
51,Algeria,131,14,15,0 days 12:39:00.000000000
16,Brazil,111,4,0,0 days 12:39:00.000000000
29,Poland,109,3,0,0 days 12:39:00.000000000
39,Greece,101,1,0,0 days 12:39:00.000000000
49,Croatia,96,0,6,0 days 12:39:00.000000000
