,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,54,2,0,0 days 00:10:00.000000000
1,Italy,0,0,0,0 days 00:10:00.000000000
2,China,0,0,0,0 days 00:10:00.000000000
3,Spain,0,0,0,0 days 00:10:00.000000000
4,Germany,0,0,0,0 days 00:10:00.000000000
5,France,0,0,0,0 days 00:10:00.000000000
6,Iran,0,0,0,0 days 00:10:00.000000000
7,United Kingdom,0,0,0,0 days 00:10:00.000000000
8,Switzerland,0,0,0,0 days 00:10:00.000000000
9,Netherlands,0,0,0,0 days 00:10:00.000000000
10,Belgium,0,0,0,0 days 00:10:00.000000000
11,South Korea,0,0,0,0 days 00:10:00.000000000
12,Turkey,0,0,0,0 days 00:10:00.000000000
13,Austria,0,0,0,0 days 00:10:00.000000000
14,Canada,15,0,0,0 days 00:10:00.000000000
15,Portugal,0,0,0,0 days 00:10:00.000000000
16,Norway,0,0,0,0 days 00:10:00.000000000
17,Brazil,0,0,0,0 days 00:10:00.000000000
18,Australia,0,0,0,0 days 00:10:00.000000000
19,Israel,0,0,0,0 days 00:10:00.000000000
20,Sweden,0,0,0,0 days 00:10:00.000000000
21,Czechia,0,0,0,0 days 00:10:00.000000000
22,Ireland,0,0,0,0 days 00:10:00.000000000
23,Malaysia,0,0,0,0 days 00:10:00.000000000
24,Denmark,0,0,0,0 days 00:10:00.000000000
25,Chile,0,0,0,0 days 00:10:00.000000000
26,Luxembourg,0,0,0,0 days 00:10:00.000000000
27,Ecuador,0,0,0,0 days 00:10:00.000000000
28,Japan,0,0,0,0 days 00:10:00.000000000
29,Poland,0,0,0,0 days 00:10:00.000000000
30,Romania,0,0,0,0 days 00:10:00.000000000
31,Russia,0,0,0,0 days 00:10:00.000000000
32,Pakistan,0,0,0,0 days 00:10:00.000000000
33,Philippines,0,0,0,0 days 00:10:00.000000000
34,Thailand,0,0,0,0 days 00:10:00.000000000
35,Saudi Arabia,0,0,0,0 days 00:10:00.000000000
36,Indonesia,0,0,0,0 days 00:10:00.000000000
37,Finland,0,0,0,0 days 00:10:00.000000000
38,South Africa,0,0,0,0 days 00:10:00.000000000
39,Greece,0,0,0,0 days 00:10:00.000000000
40,India,0,0,0,0 days 00:10:00.000000000
41,Iceland,0,0,0,0 days 00:10:00.000000000
42,Panama,0,0,0,0 days 00:10:00.000000000
43,Dominican Republic,0,0,0,0 days 00:10:00.000000000
44,Peru,0,0,0,0 days 00:10:00.000000000
45,Mexico,0,0,0,0 days 00:10:00.000000000
46,Singapore,0,0,0,0 days 00:10:00.000000000
47,Argentina,0,0,0,0 days 00:10:00.000000000
48,Serbia,0,0,0,0 days 00:10:00.000000000
49,Slovenia,0,0,0,0 days 00:10:00.000000000
50,Croatia,0,0,0,0 days 00:10:00.000000000
51,Diamond Princess,0,0,0,0 days 00:10:00.000000000
52,Estonia,0,0,0,0 days 00:10:00.000000000
53,Hong Kong,0,0,0,0 days 00:10:00.000000000
54,Qatar,0,0,0,0 days 00:10:00.000000000
55,Colombia,0,0,0,0 days 00:10:00.000000000
56,Egypt,0,0,0,0 days 00:10:00.000000000
57,United Arab Emirates,0,0,0,0 days 00:10:00.000000000
58,Iraq,0,0,0,0 days 00:10:00.000000000
59,New Zealand,0,0,0,0 days 00:10:00.000000000
60,Algeria,0,0,0,0 days 00:10:00.000000000
61,Bahrain,0,0,0,0 days 00:10:00.000000000
62,Morocco,0,0,0,0 days 00:10:00.000000000
63,Lebanon,0,0,0,0 days 00:10:00.000000000
64,Lithuania,0,0,0,0 days 00:10:00.000000000
65,Armenia,0,0,0,0 days 00:10:00.000000000
66,Ukraine,0,0,0,0 days 00:10:00.000000000
67,Hungary,0,0,0,0 days 00:10:00.000000000
68,Latvia,0,0,0,0 days 00:10:00.000000000
69,Bulgaria,0,0,0,0 days 00:10:00.000000000
70,Andorra,0,0,0,0 days 00:10:00.000000000
71,Bosnia and Herzegovina,0,0,0,0 days 00:10:00.000000000
72,Slovakia,0,0,0,0 days 00:10:00.000000000
73,Uruguay,0,0,0,0 days 00:10:00.000000000
74,Taiwan,0,0,0,0 days 00:10:00.000000000
75,Costa Rica,0,0,0,0 days 00:10:00.000000000
76,Tunisia,0,0,0,0 days 00:10:00.000000000
77,Moldova,0,0,0,0 days 00:10:00.000000000
78,Jordan,0,0,0,0 days 00:10:00.000000000
79,North Macedonia,0,0,0,0 days 00:10:00.000000000
80,Kuwait,0,0,0,0 days 00:10:00.000000000
81,Kazakhstan,0,0,0,0 days 00:10:00.000000000
82,San Marino,0,0,0,0 days 00:10:00.000000000
83,Burkina Faso,0,0,0,0 days 00:10:00.000000000
84,Cyprus,0,0,0,0 days 00:10:00.000000000
85,Albania,0,0,0,0 days 00:10:00.000000000
86,Azerbaijan,0,0,0,0 days 00:10:00.000000000
87,Vietnam,0,0,0,0 days 00:10:00.000000000
88,Reunion,0,0,0,0 days 00:10:00.000000000
89,Oman,0,0,0,0 days 00:10:00.000000000
90,Faeroe Islands,0,0,0,0 days 00:10:00.000000000
91,Ghana,0,0,0,0 days 00:10:00.000000000
92,Malta,0,0,0,0 days 00:10:00.000000000
93,Uzbekistan,0,0,0,0 days 00:10:00.000000000
94,Senegal,0,0,0,0 days 00:10:00.000000000
95,Ivory Coast,0,0,0,0 days 00:10:00.000000000
96,Cuba,0,0,0,0 days 00:10:00.000000000
97,Brunei,0,0,0,0 days 00:10:00.000000000
98,Afghanistan,0,0,0,0 days 00:10:00.000000000
99,Venezuela,0,0,0,0 days 00:10:00.000000000
100,Sri Lanka,0,0,0,0 days 00:10:00.000000000
101,Honduras,0,0,0,0 days 00:10:00.000000000
102,Palestine,0,0,0,0 days 00:10:00.000000000
103,Mauritius,0,0,0,0 days 00:10:00.000000000
104,Cambodia,0,0,0,0 days 00:10:00.000000000
105,Guadeloupe,0,0,0,0 days 00:10:00.000000000
106,Channel Islands,0,0,0,0 days 00:10:00.000000000
107,Nigeria,0,0,0,0 days 00:10:00.000000000
108,Belarus,0,0,0,0 days 00:10:00.000000000
