Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Australian Capital Territory,Australia,03/28/2020 08:45,71,,
New South Wales,Australia,03/28/2020 08:45,1617,,
Northern Territory,Australia,03/28/2020 08:45,14,,
Queensland,Australia,03/28/2020 08:45,625,,
South Australia,Australia,03/28/2020 08:45,287,,
Tasmania,Australia,03/28/2020 08:45,58,,
Victoria,Australia,03/28/2020 08:45,685,,
Western Australia,Australia,03/28/2020 08:45,278,,
Eyibaolu,China,03/28/2020 08:45,2526,3177,62098.0
Di 欐 rot,China,03/28/2020 08:45,403,4,111.0
Right-version of the goo,China,03/28/2020 08:45,251,2,30.0
Zhenjianhanning,China,03/28/2020 08:45,155,8,410.0
Juancongdaoning,China,03/28/2020 08:45,146,5,334.0
Qiankuaminlu,China,03/28/2020 08:45,118,8,1341.0
Fuhanhuanlu,China,03/28/2020 08:45,41,1,295.0
Xianlilielu,China,03/28/2020 08:45,25,1,1225.0
Still water ╂ touch Ning,China,03/28/2020 08:45,25,3,133.0
Tick ​​pumping 棬,China,03/28/2020 08:45,25,0,10.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/28/2020 08:45,19,1,74.0
Babianminlu,China,03/28/2020 08:45,13,7,752.0
Chaxizhenlu,China,03/28/2020 08:45,10,0,631.0
Qiesikoulu,China,03/28/2020 08:45,9,3,536.0
Uushanmenlu,China,03/28/2020 08:45,9,2,125.0
闄曡Ta鐪,China,03/28/2020 08:45,8,3,242.0
Beach 戝崡 鐪,China,03/28/2020 08:45,6,2,172.0
Chajiemulu,China,03/28/2020 08:45,5,2,124.0
鍚夋 灄鐪,China,03/28/2020 08:45,4,1,92.0
Lichongbaolu,China,03/28/2020 08:45,3,6,310.0
Lichonghanlu,China,03/28/2020 08:45,2,22,1251.0
Read 嶅 Jenning,China,03/28/2020 08:45,2,6,570.0
Zhenzhanxiecha Xiyan,China,03/28/2020 08:45,2,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/28/2020 08:45,2,2,250.0
Ba Lu braid ta,China,03/28/2020 08:45,2,0,133.0
Cha Xi Lu Tatari,China,03/28/2020 08:45,1,1,934.0
Eyihanlu,China,03/28/2020 08:45,0,4,1014.0
Yuesuijionglu,China,03/28/2020 08:45,0,6,984.0
Xianfenghanlu,China,03/28/2020 08:45,0,6,162.0
Ludiandanlu,China,03/28/2020 08:45,0,2,144.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/28/2020 08:45,0,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/28/2020 08:45,0,0,75.0
Weishudaolu,China,03/28/2020 08:45,0,0,18.0
Yuan Cai hip Nielihuikui,China,03/28/2020 08:45,0,0,1.0
,,03/28/2020 08:45,Confirmed,Deaths,
,,03/28/2020 08:45,"104,848",,
New York,US,03/28/2020 08:45,"46,094",605,
New Jersey,US,03/28/2020 08:45,"8,825",108,
California,US,03/28/2020 08:45,"4,885",102,
WA,US,03/28/2020 08:45,"3,726",175,
Michigan,US,03/28/2020 08:45,"3,657",92,
