Last Update,Country/Region,Province/State,Confirmed,Deaths,Recovered
04/02/2020 11:17,Italy,,110574,13155,16847
04/02/2020 11:17,Spain,,110238,10003,26743
04/02/2020 11:17,Germany,,77981,931,19175
04/02/2020 11:17,France,,56989,4032,10935
04/02/2020 11:17,Iran,,50468,3160,16711
04/02/2020 11:17,United Kingdom,,29474,2352,135
04/02/2020 11:17,Switzerland,,18117,505,4013
04/02/2020 11:17,Turkey,,15679,277,333
04/02/2020 11:17,Belgium,Brussels,15348,1011,2495
04/02/2020 11:17,Netherlands,,13614,1173,250
04/02/2020 11:17,Austria,,10877,158,1749
04/02/2020 11:17,South Korea,,9976,169,5828
04/02/2020 11:17,Portugal,,8251,187,43
04/02/2020 11:17,Brazil,,6931,244,127
04/02/2020 11:17,Israel,,6211,31,289
04/02/2020 11:17,Sweden,,4947,239,103
04/02/2020 11:17,Norway,,4898,45,13
04/02/2020 11:17,Czechia,,3604,40,61
04/02/2020 11:17,Russia,,3548,30,235
04/02/2020 11:17,Ireland,,3447,85,5
04/02/2020 11:17,Denmark,,3355,104,894
04/02/2020 11:17,Malaysia,,3116,50,767
04/02/2020 11:17,Chile,,3031,16,234
04/02/2020 11:17,Ecuador,,2758,98,58
04/02/2020 11:17,Romania,,2738,94,267
04/02/2020 11:17,Philippines,,2633,107,51
04/02/2020 11:17,Poland,,2633,45,56
04/02/2020 11:17,Japan,,2384,57,472
04/02/2020 11:17,Luxembourg,,2319,29,80
04/02/2020 11:17,Pakistan,,2291,31,107
04/02/2020 11:17,India,,2032,58,148
04/02/2020 11:17,Thailand,,1875,15,505
04/02/2020 11:17,Indonesia,,1790,170,112
04/02/2020 11:17,Saudi Arabia,,1720,16,264
04/02/2020 11:17,Finland,,1518,17,300
04/02/2020 11:17,Greece,,1415,51,52
04/02/2020 11:17,South Africa,,1380,5,50
04/02/2020 11:17,Mexico,,1378,37,35
04/02/2020 11:17,Peru,,1323,47,394
04/02/2020 11:17,Panama,,1317,32,9
04/02/2020 11:17,Dominican Republic,,1284,57,9
04/02/2020 11:17,Iceland,,1220,2,236
04/02/2020 11:17,Argentina,,1133,33,248
04/02/2020 11:17,Colombia,,1065,17,39
04/02/2020 11:17,Serbia,,1060,28,42
04/02/2020 11:17,Singapore,,1000,4,245
04/02/2020 11:17,Croatia,,963,6,73
04/02/2020 11:17,Slovenia,,897,16,10
04/02/2020 11:17,Estonia,,858,11,45
04/02/2020 11:17,Algeria,,847,58,61
04/02/2020 11:17,Qatar,,835,2,71
04/02/2020 11:17,United Arab Emirates,,814,8,61
04/02/2020 11:17,Ukraine,,804,20,13
04/02/2020 11:17,Hong Kong,Hong Kong,802,4,154
04/02/2020 11:17,New Zealand,,797,1,92
04/02/2020 11:17,Egypt,,779,52,179
04/02/2020 11:17,Iraq,,728,52,182
04/02/2020 11:17,Japan,Yokohama,712,11,619
04/02/2020 11:17,Morocco,,676,39,29
04/02/2020 11:17,Armenia,,663,4,33
04/02/2020 11:17,Lithuania,,649,8,7
04/02/2020 11:17,Hungary,,585,21,42
04/02/2020 11:17,Bahrain,,569,4,337
04/02/2020 11:17,Bosnia and Herzegovina,,512,15,20
04/02/2020 11:17,Lebanon,,494,16,43
04/02/2020 11:17,Latvia,,458,0,1
04/02/2020 11:17,Bulgaria,,449,10,25
04/02/2020 11:17,Slovakia,,426,1,3
04/02/2020 11:17,Tunisia,,423,12,5
04/02/2020 11:17,Moldova,,423,5,23
04/02/2020 11:17,Kazakhstan,,402,3,27
04/02/2020 11:17,Azerbaijan,,400,5,26
04/02/2020 11:17,Andorra,,390,14,10
04/02/2020 11:17,Costa Rica,,375,2,4
04/02/2020 11:17,North Macedonia,,354,11,17
04/02/2020 11:17,Uruguay,,350,2,62
04/02/2020 11:17,Kuwait,,342,0,81
04/02/2020 11:17,Taiwan,Taiwan,339,5,50
04/02/2020 11:17,Cyprus,,320,9,28
04/02/2020 11:17,Burkina Faso,,282,16,46
04/02/2020 11:17,Reunion,,281,0,40
04/02/2020 11:17,Jordan,,278,5,36
04/02/2020 11:17,Albania,,277,16,67
04/02/2020 11:17,Cameroon,,255,6,10
04/02/2020 11:17,Afghanistan,,239,4,5
04/02/2020 11:17,San Marino,,236,28,13
04/02/2020 11:17,Oman,,231,1,57
04/02/2020 11:17,Vietnam,,222,0,75
04/02/2020 11:17,Honduras,,219,14,3
04/02/2020 11:17,Cuba,,212,6,12
04/02/2020 11:17,Ghana,,195,5,31
04/02/2020 11:17,Uzbekistan,,190,2,12
04/02/2020 11:17,Ivory Coast,,190,1,9
04/02/2020 11:17,Senegal,,190,1,45
04/02/2020 11:17,Malta,,188,0,2
04/02/2020 11:17,Faeroe Islands,,177,0,81
04/02/2020 11:17,Nigeria,,174,2,9
04/02/2020 11:17,Channel Islands,,172,3,0
04/02/2020 11:17,Belarus,,163,2,53
04/02/2020 11:17,Mauritius,,161,7,0
04/02/2020 11:17,Palestine,,155,1,18
04/02/2020 11:17,Sri Lanka,,148,3,21
04/02/2020 11:17,Venezuela,,144,3,43
04/02/2020 11:17,Montenegro,,140,2,0
04/02/2020 11:17,Martinique,,135,3,27
04/02/2020 11:17,Brunei,,133,1,56
04/02/2020 11:17,Georgia,,130,0,26
04/02/2020 11:17,Guadeloupe,,125,6,24
04/02/2020 11:17,DRC,,123,11,3
04/02/2020 11:17,Bolivia,,123,7,1
04/02/2020 11:17,Mayotte,,116,1,10
04/02/2020 11:17,Kyrgyzstan,,116,0,5
04/02/2020 11:17,Cambodia,,110,0,34
04/02/2020 11:17,Trinidad and Tobago,,90,5,1
04/02/2020 11:17,Rwanda,,82,0,0
04/02/2020 11:17,Kenya,,81,1,3
04/02/2020 11:17,Gibraltar,,81,0,34
04/02/2020 11:17,Paraguay,,77,3,2
04/02/2020 11:17,Isle of Man,,75,1,0
04/02/2020 11:17,Niger,,74,5,0
04/02/2020 11:17,Liechtenstein,,72,0,0
04/02/2020 11:17,Madagascar,,57,0,0
04/02/2020 11:17,Bangladesh,,56,6,25
04/02/2020 11:17,Monaco,,55,1,2
04/02/2020 11:17,Aruba,,55,0,1
04/02/2020 11:17,French Guiana,,51,0,15
04/02/2020 11:17,Guatemala,,46,1,12
04/02/2020 11:17,Barbados,,45,0,0
04/02/2020 11:17,Uganda,,44,0,0
04/02/2020 11:17,Jamaica,,44,3,2
04/02/2020 11:17,Macau,Macau,41,0,10
04/02/2020 11:17,El Salvador,,41,2,0
04/02/2020 11:17,French Polynesia,,37,0,0
04/02/2020 11:17,Togo,,36,2,10
04/02/2020 11:17,Zambia,,36,0,0
04/02/2020 11:17,Djibouti,,33,0,0
04/02/2020 11:17,Bermuda,,32,0,10
04/02/2020 11:17,Mali,,31,3,0
04/02/2020 11:17,Guinea,,30,0,0
04/02/2020 11:17,Ethiopia,,29,0,3
04/02/2020 11:17,Saint Martin,,22,1,2
04/02/2020 11:17,Cayman Islands,,22,1,0
04/02/2020 11:17,Congo,,22,2,0
04/02/2020 11:17,Bahamas,,21,1,1
04/02/2020 11:17,Tanzania,,20,1,1
04/02/2020 11:17,Guyana,,19,4,0
04/02/2020 11:17,Maldives,,19,0,13
04/02/2020 11:17,Gabon,,18,1,0
04/02/2020 11:17,Eritrea,,18,0,0
