Province/State,Confirmed,Deaths,Recovered,Country/Region,Last Update
婀栧寳鐪�,2895,3174,61732.0,,
棣欐腐,405,4,110.0,,
鍙版咕,236,2,29.0,,
鍖椾含甯�,153,8,408.0,,
涓婃捣甯�,129,5,334.0,,
骞夸笢鐪�,111,8,1337.0,,
绂忓缓鐪�,35,1,295.0,,
娴欐睙鐪�,24,1,1222.0,,
婢抽棬,23,0,10.0,,
澶╂触甯�,19,3,133.0,,
鍐呰挋鍙よ嚜娌诲尯,17,1,74.0,,
灞变笢鐪�,13,7,752.0,,
鐢樿們鐪�,11,2,123.0,,
姹熻嫃鐪�,10,0,631.0,,
鍥涘窛鐪�,9,3,536.0,,
闄曡タ鐪�,8,3,242.0,,
浜戝崡鐪�,6,2,172.0,,
娌冲崡鐪�,3,22,1250.0,,
娌冲寳鐪�,3,6,310.0,,
閲嶅簡甯�,2,6,570.0,,
榛戦緳姹熺渷,2,13,469.0,,
骞胯タ澹�鏃忚嚜娌诲尯,2,2,250.0,,
灞辫タ鐪�,2,0,133.0,,
杈藉畞鐪�,2,2,124.0,,
鍚夋灄鐪�,2,1,92.0,,
姹熻タ鐪�,1,1,934.0,,
婀栧崡鐪�,0,4,1014.0,,
瀹夊窘鐪�,0,6,984.0,,
娴峰崡鐪�,0,6,162.0,,
璐靛窞鐪�,0,2,144.0,,
鏂扮枂缁村惥灏旇嚜娌诲尯,0,3,73.0,,
瀹佸�忓洖鏃忚嚜娌诲尯,0,0,75.0,,
闈掓捣鐪�,0,0,18.0,,
瑗胯棌鑷�娌诲尯,0,0,1.0,,
,,,,,3/27/2020 14:23
New York,"39,140",461,0.0,US,3/27/2020 14:23
New Jersey,"6,876",81,1.0,US,3/27/2020 14:23
California,,,6.0,US,3/27/2020 14:23
WA,"3,207",150,1.0,US,3/27/2020 14:23
Michigan,"2,857",61,0.0,US,3/27/2020 14:23
Illinois,"2,542",26,2.0,US,3/27/2020 14:23
Florida,"2,484",29,0.0,US,3/27/2020 14:23
Massachusetts,"2,417",25,1.0,US,3/27/2020 14:23
Louisiana,"2,305",83,0.0,US,3/27/2020 14:23
Pennsylvania,"1,813",18,0.0,US,3/27/2020 14:23
Texas,,24,0.0,US,3/27/2020 14:23
Georgia,"1,643",56,0.0,US,3/27/2020 14:23
Colorado,"1,430",,0.0,US,3/27/2020 14:23
Tennessee,"1,099",3,0.0,US,3/27/2020 14:23
Connecticut,"1,012",21,0.0,US,3/27/2020 14:23
Ohio,870,15,0.0,US,3/27/2020 14:23
North Carolina,,3,0.0,US,3/27/2020 14:23
Wisconsin,728,10,1.0,US,3/27/2020 14:23
Indiana,657,17,0.0,US,3/27/2020 14:23
Maryland,583,4,3.0,US,3/27/2020 14:23
Alabama,,,0.0,US,3/27/2020 14:23
Nevada,536,10,0.0,US,3/27/2020 14:23
Missouri,530,9,0.0,US,3/27/2020 14:23
Arizona,508,8,1.0,US,3/27/2020 14:23
Mississippi,485,6,0.0,US,3/27/2020 14:23
Virginia,471,14,0.0,US,3/27/2020 14:23
South Carolina,456,9,0.0,US,3/27/2020 14:23
Utah,402,1,0.0,US,3/27/2020 14:23
Arkansas,349,2,0.0,US,3/27/2020 14:23
Minnesota,346,2,0.0,US,3/27/2020 14:23
Oregon,317,11,0.0,US,3/27/2020 14:23
Washington DC,267,3,0.0,US,3/27/2020 14:23
Kentucky,248,5,1.0,US,3/27/2020 14:23
Oklahoma,248,7,0.0,US,3/27/2020 14:23
Idaho,191,3,0.0,US,3/27/2020 14:23
Iowa,180,1,0.0,US,3/27/2020 14:23
Kansas,,3,0.0,US,3/27/2020 14:23
Rhode Island,165,0,0.0,US,3/27/2020 14:23
New Hampshire,,1,0.0,US,3/27/2020 14:23
Vermont,158,9,0.0,US,3/27/2020 14:23
Maine,155,0,0.0,US,3/27/2020 14:23
Delaware,143,,0.0,US,3/27/2020 14:23
New Mexico,136,1,0.0,US,3/27/2020 14:23
Hawaii,106,0,0.0,US,3/27/2020 14:23
Montana,90,1,0.0,US,3/27/2020 14:23
Nebraska,82,0,0.0,US,3/27/2020 14:23
Puerto Rico,,,1.0,US,3/27/2020 14:23
West Virginia,76,0,0.0,US,3/27/2020 14:23
Alaska,,1,0.0,US,3/27/2020 14:23
North Dakota,58,0,0.0,US,3/27/2020 14:23
Wyoming,56,0,0.0,US,3/27/2020 14:23
Guam,,1,0.0,US,3/27/2020 14:23
,49,0,,,3/27/2020 14:23
South Dakota,46,1,0.0,US,3/27/2020 14:23
,28,3,,,3/27/2020 14:23
US Virgin Islands,17,0,0.0,US,3/27/2020 14:23
,,,,,3/27/2020 14:23
,"39,140",461,,,3/27/2020 14:23
,"6,876",81,,,3/27/2020 14:23
,,,,,3/27/2020 14:23
,"3,207",150,,,3/27/2020 14:23
,"2,857",61,,,3/27/2020 14:23
,"2,542",26,,,3/27/2020 14:23
,"2,484",29,,,3/27/2020 14:23
,"2,417",25,,,3/27/2020 14:23
,"2,305",83,,,3/27/2020 14:23
,"1,813",18,,,3/27/2020 14:23
,,24,,,3/27/2020 14:23
,"1,643",56,,,3/27/2020 14:23
,"1,430",,,,3/27/2020 14:23
,"1,099",3,,,3/27/2020 14:23
,"1,012",21,,,3/27/2020 14:23
,870,15,,,3/27/2020 14:23
,,3,,,3/27/2020 14:23
,728,10,,,3/27/2020 14:23
,657,17,,,3/27/2020 14:23
,583,4,,,3/27/2020 14:23
,,,,,3/27/2020 14:23
,536,10,,,3/27/2020 14:23
,530,9,,,3/27/2020 14:23
,508,8,,,3/27/2020 14:23
,485,6,,,3/27/2020 14:23
,471,14,,,3/27/2020 14:23
,456,9,,,3/27/2020 14:23
,402,1,,,3/27/2020 14:23
,349,2,,,3/27/2020 14:23
,346,2,,,3/27/2020 14:23
,317,11,,,3/27/2020 14:23
,267,3,,,3/27/2020 14:23
,248,5,,,3/27/2020 14:23
,248,7,,,3/27/2020 14:23
,191,3,,,3/27/2020 14:23
,180,1,,,3/27/2020 14:23
,,3,,,3/27/2020 14:23
,165,0,,,3/27/2020 14:23
