Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Eyibaolu,China,03/27/2020 15:11,2895,3174,61732.0
Di 欐 rot,China,03/27/2020 15:11,405,4,110.0
Right-version of the goo,China,03/27/2020 15:11,236,2,29.0
Zhenjianhanning,China,03/27/2020 15:11,153,8,408.0
Juancongdaoning,China,03/27/2020 15:11,129,5,334.0
Qiankuaminlu,China,03/27/2020 15:11,111,8,1337.0
Fuhanhuanlu,China,03/27/2020 15:11,35,1,295.0
Xianlilielu,China,03/27/2020 15:11,24,1,1222.0
Tick ​​pumping 棬,China,03/27/2020 15:11,23,0,10.0
Still water ╂ touch Ning,China,03/27/2020 15:11,19,3,133.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/27/2020 15:11,17,1,74.0
Babianminlu,China,03/27/2020 15:11,13,7,752.0
Uushanmenlu,China,03/27/2020 15:11,11,2,123.0
Chaxizhenlu,China,03/27/2020 15:11,10,0,631.0
Qiesikoulu,China,03/27/2020 15:11,9,3,536.0
闄曡Ta鐪,China,03/27/2020 15:11,8,3,242.0
Beach 戝崡 鐪,China,03/27/2020 15:11,6,2,172.0
Lichonghanlu,China,03/27/2020 15:11,3,22,1250.0
Lichongbaolu,China,03/27/2020 15:11,3,6,310.0
Read 嶅 Jenning,China,03/27/2020 15:11,2,6,570.0
Zhenzhanxiecha Xiyan,China,03/27/2020 15:11,2,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/27/2020 15:11,2,2,250.0
Ba Lu braid ta,China,03/27/2020 15:11,2,0,133.0
Chajiemulu,China,03/27/2020 15:11,2,2,124.0
鍚夋 灄鐪,China,03/27/2020 15:11,2,1,92.0
Cha Xi Lu Tatari,China,03/27/2020 15:11,1,1,934.0
Eyihanlu,China,03/27/2020 15:11,0,4,1014.0
Yuesuijionglu,China,03/27/2020 15:11,0,6,984.0
Xianfenghanlu,China,03/27/2020 15:11,0,6,162.0
Ludiandanlu,China,03/27/2020 15:11,0,2,144.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/27/2020 15:11,0,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/27/2020 15:11,0,0,75.0
Weishudaolu,China,03/27/2020 15:11,0,0,18.0
Yuan Cai hip Nielihuikui,China,03/27/2020 15:11,0,0,1.0
,,03/27/2020 15:11,,,
New York,US,03/27/2020 15:11,"39,140",461,0.0
New Jersey,US,03/27/2020 15:11,"6,876",81,1.0
California,US,03/27/2020 15:11,,,6.0
WA,US,03/27/2020 15:11,"3,207",150,1.0
Michigan,US,03/27/2020 15:11,"2,857",61,0.0
Illinois,US,03/27/2020 15:11,"2,542",26,2.0
Florida,US,03/27/2020 15:11,"2,484",29,0.0
Massachusetts,US,03/27/2020 15:11,"2,417",25,1.0
Louisiana,US,03/27/2020 15:11,"2,305",83,0.0
Pennsylvania,US,03/27/2020 15:11,"1,813",18,0.0
Texas,US,03/27/2020 15:11,,24,0.0
Georgia,US,03/27/2020 15:11,"1,643",56,0.0
Colorado,US,03/27/2020 15:11,"1,430",,0.0
