Country/Region,Confirmed,Deaths,Recovered,Province/State,Last Update
China,81340,3292,74588,,03/27/2020 19:40
USA,98925,1518,2465,,03/27/2020 19:40
Italy,86498,9134,10950,,03/27/2020 19:40
Spain,64059,4934,9357,,03/27/2020 19:40
Germany,50178,338,6658,,03/27/2020 19:40
France,32964,1995,5700,,03/27/2020 19:40
Iran,32332,2378,11133,,03/27/2020 19:40
UK,14543,759,135,,03/27/2020 19:40
Switzerland,12928,231,1530,,03/27/2020 19:40
South Korea,9332,139,4528,,03/27/2020 19:40
Netherlands,8603,546,3,,03/27/2020 19:40
Austria,7657,58,225,,03/27/2020 19:40
Belgium,7284,289,858,Brussels,03/27/2020 19:40
Turkey,5698,92,42,,03/27/2020 19:40
Canada,4610,53,228,,03/27/2020 19:40
Portugal,4268,76,43,,03/27/2020 19:40
Norway,3717,19,6,,03/27/2020 19:40
Brazil,3417,92,6,,03/27/2020 19:40
Australia,3180,13,170,,03/27/2020 19:40
Sweden,3046,92,16,,03/27/2020 19:40
Israel,3035,12,79,,03/27/2020 19:40
Czechia,2279,9,11,,03/27/2020 19:40
Malaysia,2161,26,259,,03/27/2020 19:40
Ireland,2121,22,5,,03/27/2020 19:40
Denmark,2046,52,1,,03/27/2020 19:40
Chile,1610,5,43,,03/27/2020 19:40
Luxembourg,1605,15,40,,03/27/2020 19:40
Ecuador,1595,36,3,,03/27/2020 19:40
Japan,1387,47,359,,03/27/2020 19:40
Poland,1340,16,7,,03/27/2020 19:40
Pakistan,1331,9,23,,03/27/2020 19:40
Romania,1292,26,115,,03/27/2020 19:40
South Africa,1170,1,12,,03/27/2020 19:40
Thailand,1136,5,97,,03/27/2020 19:40
Saudi Arabia,1104,3,35,,03/27/2020 19:40
Indonesia,1046,87,46,,03/27/2020 19:40
Finland,1041,7,10,,03/27/2020 19:40
Russia,1036,3,45,,03/27/2020 19:40
Greece,966,28,52,,03/27/2020 19:40
Iceland,890,2,97,,03/27/2020 19:40
India,887,20,73,,03/27/2020 19:40
Philippines,803,54,31,,03/27/2020 19:40
Singapore,732,2,183,,03/27/2020 19:40
Japan,712,10,597,Yokohama,03/27/2020 19:40
Panama,674,9,2,,03/27/2020 19:40
Peru,635,9,14,,03/27/2020 19:40
Slovenia,632,9,10,,03/27/2020 19:40
Argentina,589,13,72,,03/27/2020 19:40
Croatia,586,3,37,,03/27/2020 19:40
Mexico,585,8,4,,03/27/2020 19:40
Dominican Republic,581,20,3,,03/27/2020 19:40
Estonia,575,1,11,,03/27/2020 19:40
Qatar,562,0,43,,03/27/2020 19:40
Egypt,536,30,116,,03/27/2020 19:40
Serbia,528,8,42,,03/27/2020 19:40
Hong Kong,518,4,111,Hong Kong,03/27/2020 19:40
Colombia,491,6,8,,03/27/2020 19:40
Bahrain,466,4,227,,03/27/2020 19:40
Iraq,458,40,122,,03/27/2020 19:40
Algeria,409,26,29,,03/27/2020 19:40
United Arab Emirates,405,2,52,,03/27/2020 19:40
Lebanon,391,8,27,,03/27/2020 19:40
New Zealand,368,0,37,,03/27/2020 19:40
Lithuania,358,5,1,,03/27/2020 19:40
Morocco,333,21,11,,03/27/2020 19:40
Armenia,329,1,28,,03/27/2020 19:40
Hungary,300,10,34,,03/27/2020 19:40
Bulgaria,293,3,9,,03/27/2020 19:40
Latvia,280,0,1,,03/27/2020 19:40
Slovakia,269,0,2,,03/27/2020 19:40
Andorra,267,3,1,,03/27/2020 19:40
Taiwan,267,2,30,Taiwan,03/27/2020 19:40
Uruguay,238,0,0,,03/27/2020 19:40
Jordan,235,0,17,,03/27/2020 19:40
Bosnia and Herzegovina,232,4,5,,03/27/2020 19:40
Costa Rica,231,2,2,,03/27/2020 19:40
Tunisia,227,6,2,,03/27/2020 19:40
Ukraine,226,5,5,,03/27/2020 19:40
Kuwait,225,0,57,,03/27/2020 19:40
San Marino,223,21,4,,03/27/2020 19:40
North Macedonia,219,3,3,,03/27/2020 19:40
Moldova,199,2,2,,03/27/2020 19:40
Albania,186,8,31,,03/27/2020 19:40
Burkina Faso,180,9,12,,03/27/2020 19:40
