Country/Region,confirmed,deaths,recovered,Last Update
US,123781,2229,3238,03/29/2020 11:59
Italy,92472,10023,12384,03/29/2020 11:59
China,81439,3300,75448,03/29/2020 11:59
Spain,78797,6528,14709,03/29/2020 11:59
Germany,58247,455,8481,03/29/2020 11:59
Iran,38309,2640,12391,03/29/2020 11:59
France,37575,2314,5700,03/29/2020 11:59
United Kingdom,17089,1019,135,03/29/2020 11:59
Switzerland,14352,282,1595,03/29/2020 11:59
Belgium,10836,431,1359,03/29/2020 11:59
Netherlands,9762,639,3,03/29/2020 11:59
South Korea,9583,152,5033,03/29/2020 11:59
Austria,8411,86,479,03/29/2020 11:59
Turkey,7402,108,70,03/29/2020 11:59
Canada,5655,60,508,03/29/2020 11:59
Portugal,5170,100,43,03/29/2020 11:59
Norway,4054,23,7,03/29/2020 11:59
Australia,3969,16,226,03/29/2020 11:59
Brazil,3904,114,6,03/29/2020 11:59
Israel,3865,13,89,03/29/2020 11:59
Sweden,3447,105,16,03/29/2020 11:59
Czechia,2689,13,11,03/29/2020 11:59
Malaysia,2470,34,388,03/29/2020 11:59
Ireland,2415,36,5,03/29/2020 11:59
Denmark,2201,65,1,03/29/2020 11:59
Chile,1909,6,61,03/29/2020 11:59
Luxembourg,1831,18,40,03/29/2020 11:59
Ecuador,1823,48,3,03/29/2020 11:59
Romania,1760,38,169,03/29/2020 11:59
Poland,1717,19,7,03/29/2020 11:59
Japan,1693,52,404,03/29/2020 11:59
Russia,1534,8,64,03/29/2020 11:59
Pakistan,1526,13,29,03/29/2020 11:59
Philippines,1418,71,42,03/29/2020 11:59
Thailand,1388,7,97,03/29/2020 11:59
Indonesia,1285,114,64,03/29/2020 11:59
Finland,1221,9,10,03/29/2020 11:59
Saudi Arabia,1203,4,37,03/29/2020 11:59
South Africa,1187,1,31,03/29/2020 11:59
Greece,1061,32,52,03/29/2020 11:59
India,987,25,87,03/29/2020 11:59
Iceland,963,2,114,03/29/2020 11:59
Panama,901,17,4,03/29/2020 11:59
Mexico,848,16,4,03/29/2020 11:59
Singapore,802,3,198,03/29/2020 11:59
Argentina,745,19,72,03/29/2020 11:59
Slovenia,730,11,10,03/29/2020 11:59
Dominican Republic,719,28,3,03/29/2020 11:59
Diamond Princess,712,10,597,03/29/2020 11:59
Estonia,679,3,20,03/29/2020 11:59
Peru,671,16,16,03/29/2020 11:59
Serbia,659,11,42,03/29/2020 11:59
Croatia,657,5,45,03/29/2020 11:59
Colombia,608,6,10,03/29/2020 11:59
Qatar,590,1,45,03/29/2020 11:59
Hong Kong,582,4,112,03/29/2020 11:59
Egypt,576,36,121,03/29/2020 11:59
Iraq,547,42,143,03/29/2020 11:59
New Zealand,514,1,56,03/29/2020 11:59
Bahrain,499,4,272,03/29/2020 11:59
United Arab Emirates,468,2,55,03/29/2020 11:59
Algeria,454,29,31,03/29/2020 11:59
Lebanon,438,10,30,03/29/2020 11:59
Morocco,437,26,12,03/29/2020 11:59
Lithuania,437,7,1,03/29/2020 11:59
Armenia,424,3,30,03/29/2020 11:59
Ukraine,418,9,5,03/29/2020 11:59
Hungary,408,13,34,03/29/2020 11:59
Latvia,347,0,1,03/29/2020 11:59
Bulgaria,338,8,11,03/29/2020 11:59
Bosnia and Herzegovina,323,6,8,03/29/2020 11:59
Slovakia,314,0,2,03/29/2020 11:59
Andorra,308,3,1,03/29/2020 11:59
Uruguay,304,1,0,03/29/2020 11:59
Taiwan,298,2,39,03/29/2020 11:59
Costa Rica,295,2,3,03/29/2020 11:59
Tunisia,278,8,2,03/29/2020 11:59
Kuwait,255,0,67,03/29/2020 11:59
Kazakhstan,251,1,18,03/29/2020 11:59
Jordan,246,1,18,03/29/2020 11:59
North Macedonia,241,4,3,03/29/2020 11:59
Moldova,231,2,2,03/29/2020 11:59
San Marino,224,22,6,03/29/2020 11:59
Albania,212,10,33,03/29/2020 11:59
Burkina Faso,207,11,21,03/29/2020 11:59
Reunion,183,0,1,03/29/2020 11:59
Azerbaijan,182,4,15,03/29/2020 11:59
Cyprus,179,5,15,03/29/2020 11:59
Vietnam,179,0,21,03/29/2020 11:59
Oman,167,0,23,03/29/2020 11:59
Faeroe Islands,159,0,70,03/29/2020 11:59
Malta,151,0,2,03/29/2020 11:59
Senegal,142,0,27,03/29/2020 11:59
Ghana,141,5,2,03/29/2020 11:59
Ivory Coast,140,0,3,03/29/2020 11:59
Uzbekistan,133,2,7,03/29/2020 11:59
Brunei,126,1,34,03/29/2020 11:59
Cuba,119,3,4,03/29/2020 11:59
Venezuela,119,2,39,03/29/2020 11:59
Sri Lanka,115,1,10,03/29/2020 11:59
Honduras,110,1,3,03/29/2020 11:59
Afghanistan,110,4,2,03/29/2020 11:59
Palestine,106,1,18,03/29/2020 11:59
Cambodia,103,0,21,03/29/2020 11:59
Mauritius,102,2,0,03/29/2020 11:59
Guadeloupe,102,2,17,03/29/2020 11:59
Channel Islands,100,1,0,03/29/2020 11:59
Nigeria,97,1,3,03/29/2020 11:59
Belarus,94,0,32,03/29/2020 11:59
Martinique,93,1,0,03/29/2020 11:59
Cameroon,91,2,2,03/29/2020 11:59
Georgia,90,0,18,03/29/2020 11:59
Montenegro,84,1,0,03/29/2020 11:59
Kyrgyzstan,84,0,0,03/29/2020 11:59
Bolivia,81,0,0,03/29/2020 11:59
Trinidad and Tobago,76,3,1,03/29/2020 11:59
DRC,65,6,2,03/29/2020 11:59
Mayotte,63,0,0,03/29/2020 11:59
Rwanda,60,0,0,03/29/2020 11:59
Gibraltar,56,0,14,03/29/2020 11:59
Liechtenstein,56,0,0,03/29/2020 11:59
Paraguay,56,3,1,03/29/2020 11:59
Bangladesh,48,5,15,03/29/2020 11:59
Aruba,46,0,1,03/29/2020 11:59
Monaco,43,1,1,03/29/2020 11:59
Madagascar,39,0,0,03/29/2020 11:59
Kenya,38,1,1,03/29/2020 11:59
Isle of Man,37,0,0,03/29/2020 11:59
Macao,34,0,10,03/29/2020 11:59
Guatemala,34,1,10,03/29/2020 11:59
Jamaica,32,1,2,03/29/2020 11:59
Uganda,30,0,0,03/29/2020 11:59
French Polynesia,30,0,0,03/29/2020 11:59
French Guiana,28,0,6,03/29/2020 11:59
Zambia,28,0,0,03/29/2020 11:59
Barbados,26,0,0,03/29/2020 11:59
Togo,25,1,1,03/29/2020 11:59
El Salvador,24,0,0,03/29/2020 11:59
Ethiopia,19,0,1,03/29/2020 11:59
Mali,18,1,0,03/29/2020 11:59
Niger,18,1,0,03/29/2020 11:59
Maldives,17,0,11,03/29/2020 11:59
Bermuda,17,0,2,03/29/2020 11:59
Haiti,15,0,1,03/29/2020 11:59
New Caledonia,15,0,0,03/29/2020 11:59
Djibouti,14,0,0,03/29/2020 11:59
Tanzania,14,0,1,03/29/2020 11:59
Equatorial Guinea,12,0,0,03/29/2020 11:59
Mongolia,12,0,0,03/29/2020 11:59
Dominica,11,0,0,03/29/2020 11:59
Namibia,11,0,2,03/29/2020 11:59
Saint Martin,11,0,0,03/29/2020 11:59
Greenland,10,0,2,03/29/2020 11:59
Bahamas,10,0,1,03/29/2020 11:59
Eswatini,9,0,0,03/29/2020 11:59
Grenada,9,0,0,03/29/2020 11:59
Curacao,8,1,2,03/29/2020 11:59
Guinea,8,0,0,03/29/2020 11:59
Laos,8,0,0,03/29/2020 11:59
Mozambique,8,0,0,03/29/2020 11:59
Myanmar,8,0,0,03/29/2020 11:59
Seychelles,8,0,0,03/29/2020 11:59
Suriname,8,0,0,03/29/2020 11:59
Cayman Islands,8,1,0,03/29/2020 11:59
Guyana,8,1,0,03/29/2020 11:59
Antigua and Barbuda,7,0,0,03/29/2020 11:59
Zimbabwe,7,1,0,03/29/2020 11:59
Gabon,7,1,0,03/29/2020 11:59
Cabo Verde,6,1,0,03/29/2020 11:59
Benin,6,0,0,03/29/2020 11:59
Eritrea,6,0,0,03/29/2020 11:59
Vatican City,6,0,0,03/29/2020 11:59
Mauritania,5,0,0,03/29/2020 11:59
Montserrat,5,0,0,03/29/2020 11:59
Syria,5,0,0,03/29/2020 11:59
Fiji,5,0,0,03/29/2020 11:59
Sudan,5,1,0,03/29/2020 11:59
Angola,5,0,0,03/29/2020 11:59
St. Barth,5,0,0,03/29/2020 11:59
Nepal,5,0,1,03/29/2020 11:59
Nicaragua,4,1,0,03/29/2020 11:59
Congo,4,0,0,03/29/2020 11:59
Turks and Caicos,4,0,0,03/29/2020 11:59
Bhutan,4,0,0,03/29/2020 11:59
Libya,3,0,0,03/29/2020 11:59
Sint Maarten,3,0,0,03/29/2020 11:59
Somalia,3,0,0,03/29/2020 11:59
Liberia,3,0,0,03/29/2020 11:59
Chad,3,0,0,03/29/2020 11:59
CAR,3,0,0,03/29/2020 11:59
Gambia,3,1,0,03/29/2020 11:59
Saint Lucia,3,0,1,03/29/2020 11:59
MS Zaandam,2,0,0,03/29/2020 11:59
Anguilla,2,0,0,03/29/2020 11:59
Belize,2,0,0,03/29/2020 11:59
British Virgin Islands,2,0,0,03/29/2020 11:59
Guinea-Bissau,2,0,0,03/29/2020 11:59
