Country/Region,Confirmed,Deaths,Recovered,Last Update
US,235385,5604,10324,04/02/2020 19:01
Italy,115242,13915,18278,04/02/2020 19:01
Spain,110238,10096,26743,04/02/2020 19:01
Germany,84264,1074,21400,04/02/2020 19:01
China,81589,3318,76408,04/02/2020 19:01
France,59105,4503,12428,04/02/2020 19:01
Iran,50468,3160,16711,04/02/2020 19:01
United Kingdom,33718,2921,135,04/02/2020 19:01
Switzerland,18827,536,4013,04/02/2020 19:01
Turkey,18135,356,415,04/02/2020 19:01
Belgium,15348,1011,2495,04/02/2020 19:01
Netherlands,14697,1339,250,04/02/2020 19:01
Austria,11076,158,1749,04/02/2020 19:01
Canada,11068,134,1891,04/02/2020 19:01
South Korea,9976,169,5828,04/02/2020 19:01
Portugal,9034,209,68,04/02/2020 19:01
Brazil,7031,252,127,04/02/2020 19:01
Israel,6808,34,289,04/02/2020 19:01
Sweden,5466,282,103,04/02/2020 19:01
Australia,5139,25,345,04/02/2020 19:01
Norway,5131,50,32,04/02/2020 19:01
Ireland,3849,98,5,04/02/2020 19:01
Czechia,3805,44,67,04/02/2020 19:01
Russia,3548,30,235,04/02/2020 19:01
Chile,3404,18,335,04/02/2020 19:01
Denmark,3386,123,1089,04/02/2020 19:01
Ecuador,3163,120,58,04/02/2020 19:01
Malaysia,3116,50,767,04/02/2020 19:01
Romania,2738,114,267,04/02/2020 19:01
Poland,2692,51,56,04/02/2020 19:01
Philippines,2633,107,51,04/02/2020 19:01
Luxembourg,2487,30,80,04/02/2020 19:01
Pakistan,2386,33,107,04/02/2020 19:01
Japan,2384,57,472,04/02/2020 19:01
India,2341,68,177,04/02/2020 19:01
Saudi Arabia,1885,21,328,04/02/2020 19:01
Thailand,1875,15,505,04/02/2020 19:01
Indonesia,1790,170,112,04/02/2020 19:01
Greece,1544,53,61,04/02/2020 19:01
Finland,1518,19,300,04/02/2020 19:01
South Africa,1462,5,50,04/02/2020 19:01
Peru,1414,47,394,04/02/2020 19:01
Dominican Republic,1380,60,16,04/02/2020 19:01
Mexico,1378,37,35,04/02/2020 19:01
Iceland,1319,4,284,04/02/2020 19:01
Panama,1317,32,9,04/02/2020 19:01
Serbia,1171,31,42,04/02/2020 19:01
Argentina,1133,34,256,04/02/2020 19:01
Colombia,1065,17,39,04/02/2020 19:01
Singapore,1049,4,266,04/02/2020 19:01
Croatia,1011,7,88,04/02/2020 19:01
Algeria,986,86,61,04/02/2020 19:01
Slovenia,897,17,70,04/02/2020 19:01
Estonia,858,11,45,04/02/2020 19:01
Egypt,850,52,179,04/02/2020 19:01
Qatar,835,2,71,04/02/2020 19:01
United Arab Emirates,814,8,61,04/02/2020 19:01
Ukraine,804,20,13,04/02/2020 19:01
Hong Kong,802,4,154,04/02/2020 19:01
New Zealand,797,1,92,04/02/2020 19:01
Iraq,772,54,202,04/02/2020 19:01
Diamond Princess,712,11,619,04/02/2020 19:01
Morocco,691,44,30,04/02/2020 19:01
Armenia,663,5,33,04/02/2020 19:01
Lithuania,649,9,7,04/02/2020 19:01
Bahrain,643,4,381,04/02/2020 19:01
Hungary,585,21,42,04/02/2020 19:01
Bosnia and Herzegovina,532,16,20,04/02/2020 19:01
Moldova,505,6,23,04/02/2020 19:01
Lebanon,494,16,46,04/02/2020 19:01
Latvia,458,0,1,04/02/2020 19:01
Bulgaria,457,10,25,04/02/2020 19:01
Tunisia,455,14,5,04/02/2020 19:01
Kazakhstan,435,3,27,04/02/2020 19:01
Andorra,428,15,10,04/02/2020 19:01
Slovakia,426,1,5,04/02/2020 19:01
Azerbaijan,400,5,26,04/02/2020 19:01
North Macedonia,384,11,17,04/02/2020 19:01
Costa Rica,375,2,4,04/02/2020 19:01
Cyprus,356,10,28,04/02/2020 19:01
Uruguay,350,4,62,04/02/2020 19:01
Kuwait,342,0,81,04/02/2020 19:01
Taiwan,339,5,50,04/02/2020 19:01
Reunion,308,0,40,04/02/2020 19:01
Belarus,304,4,53,04/02/2020 19:01
Jordan,299,5,45,04/02/2020 19:01
Burkina Faso,288,16,50,04/02/2020 19:01
Cameroon,284,7,10,04/02/2020 19:01
Albania,277,16,67,04/02/2020 19:01
Afghanistan,258,4,10,04/02/2020 19:01
San Marino,236,28,13,04/02/2020 19:01
Cuba,233,6,13,04/02/2020 19:01
Oman,231,1,57,04/02/2020 19:01
Vietnam,227,0,75,04/02/2020 19:01
Honduras,219,14,3,04/02/2020 19:01
Ghana,204,5,31,04/02/2020 19:01
Malta,196,0,2,04/02/2020 19:01
Senegal,195,1,55,04/02/2020 19:01
Channel Islands,193,3,0,04/02/2020 19:01
Uzbekistan,190,2,25,04/02/2020 19:01
Ivory Coast,190,1,9,04/02/2020 19:01
Faeroe Islands,177,0,81,04/02/2020 19:01
Nigeria,174,2,9,04/02/2020 19:01
Mauritius,169,7,0,04/02/2020 19:01
Palestine,160,1,18,04/02/2020 19:01
Sri Lanka,151,4,21,04/02/2020 19:01
Montenegro,144,2,0,04/02/2020 19:01
Venezuela,144,3,43,04/02/2020 19:01
Martinique,135,3,27,04/02/2020 19:01
Georgia,134,0,26,04/02/2020 19:01
Brunei,133,1,56,04/02/2020 19:01
Guadeloupe,128,6,24,04/02/2020 19:01
Bolivia,123,8,1,04/02/2020 19:01
DRC,123,11,3,04/02/2020 19:01
Mayotte,116,1,10,04/02/2020 19:01
Kyrgyzstan,116,0,5,04/02/2020 19:01
Kenya,110,3,4,04/02/2020 19:01
Cambodia,110,0,34,04/02/2020 19:01
Isle of Man,95,1,0,04/02/2020 19:01
Trinidad and Tobago,90,5,1,04/02/2020 19:01
Gibraltar,88,0,46,04/02/2020 19:01
Rwanda,84,0,0,04/02/2020 19:01
Paraguay,77,3,2,04/02/2020 19:01
Liechtenstein,75,0,0,04/02/2020 19:01
Niger,74,5,0,04/02/2020 19:01
Monaco,60,1,2,04/02/2020 19:01
Aruba,60,0,1,04/02/2020 19:01
Madagascar,59,0,0,04/02/2020 19:01
Bangladesh,56,6,25,04/02/2020 19:01
Guinea,52,0,0,04/02/2020 19:01
French Guiana,51,0,15,04/02/2020 19:01
Guatemala,47,1,12,04/02/2020 19:01
Barbados,45,0,0,04/02/2020 19:01
Uganda,44,0,0,04/02/2020 19:01
Jamaica,44,3,2,04/02/2020 19:01
Macao,41,0,10,04/02/2020 19:01
El Salvador,41,2,0,04/02/2020 19:01
Djibouti,40,0,0,04/02/2020 19:01
Togo,39,2,17,04/02/2020 19:01
Zambia,39,1,0,04/02/2020 19:01
French Polynesia,37,0,0,04/02/2020 19:01
Mali,36,3,0,04/02/2020 19:01
Bermuda,32,0,10,04/02/2020 19:01
Ethiopia,29,0,3,04/02/2020 19:01
Eritrea,22,0,0,04/02/2020 19:01
Cayman Islands,22,1,0,04/02/2020 19:01
Congo,22,2,2,04/02/2020 19:01
Saint Martin,22,1,2,04/02/2020 19:01
Bahamas,21,1,1,04/02/2020 19:01
Myanmar,20,1,0,04/02/2020 19:01
Tanzania,20,1,2,04/02/2020 19:01
Guyana,19,4,0,04/02/2020 19:01
Maldives,19,0,13,04/02/2020 19:01
Gabon,18,1,0,04/02/2020 19:01
New Caledonia,18,0,1,04/02/2020 19:01
Haiti,16,0,1,04/02/2020 19:01
Sint Maarten,16,1,6,04/02/2020 19:01
Syria,16,2,0,04/02/2020 19:01
Equatorial Guinea,15,0,1,04/02/2020 19:01
Namibia,14,0,2,04/02/2020 19:01
Mongolia,14,0,2,04/02/2020 19:01
Saint Lucia,13,0,1,04/02/2020 19:01
Benin,13,0,1,04/02/2020 19:01
Dominica,12,0,0,04/02/2020 19:01
Curacao,11,1,3,04/02/2020 19:01
Greenland,10,0,2,04/02/2020 19:01
Grenada,10,0,0,04/02/2020 19:01
Laos,10,0,0,04/02/2020 19:01
Libya,10,0,0,04/02/2020 19:01
Mozambique,10,0,0,04/02/2020 19:01
Seychelles,10,0,0,04/02/2020 19:01
Suriname,10,0,0,04/02/2020 19:01
Eswatini,9,0,0,04/02/2020 19:01
Guinea-Bissau,9,0,0,04/02/2020 19:01
MS Zaandam,9,2,0,04/02/2020 19:01
Angola,8,2,1,04/02/2020 19:01
Sudan,8,2,2,04/02/2020 19:01
Zimbabwe,8,1,0,04/02/2020 19:01
Saint Kitts and Nevis,8,0,0,04/02/2020 19:01
Antigua and Barbuda,7,0,0,04/02/2020 19:01
Chad,7,0,0,04/02/2020 19:01
Fiji,7,0,0,04/02/2020 19:01
Liberia,6,0,0,04/02/2020 19:01
Turks and Caicos,6,0,0,04/02/2020 19:01
St. Barth,6,0,1,04/02/2020 19:01
Mauritania,6,1,2,04/02/2020 19:01
Vatican City,6,0,0,04/02/2020 19:01
Nepal,6,0,1,04/02/2020 19:01
Cabo Verde,6,1,0,04/02/2020 19:01
Bhutan,5,0,1,04/02/2020 19:01
Montserrat,5,0,0,04/02/2020 19:01
Somalia,5,0,1,04/02/2020 19:01
Nicaragua,5,1,0,04/02/2020 19:01
Botswana,4,1,0,04/02/2020 19:01
Gambia,4,1,2,04/02/2020 19:01
Malawi,3,0,0,04/02/2020 19:01
CAR,3,0,0,04/02/2020 19:01
Burundi,3,0,0,04/02/2020 19:01
Belize,3,0,0,04/02/2020 19:01
Anguilla,3,0,0,04/02/2020 19:01
British Virgin Islands,3,0,0,04/02/2020 19:01
Caribbean Netherlands,2,0,0,04/02/2020 19:01
St. Vincent Grenadines,2,0,1,04/02/2020 19:01
Sierra Leone,2,0,0,04/02/2020 19:01
Papua New Guinea,1,0,0,04/02/2020 19:01
Timor-Leste,1,0,0,04/02/2020 19:01
